method,seed,accuracy,macro_f1,weighted_f1,n_samples,coverage,fallback_rate,raw_top_class_rejected_by_bpmn,log_loss,brier,top2_accuracy,rule_count
MajorityBaseline,1,0.8384549940445806,0.6098422068954134,0.8221503885435002,29385,1.0,0.0,0,,,,
PredictiveML-Raw,1,0.8142249446996767,0.663018226280457,0.8390854793575295,29385,1.0,0.0,0,0.3108590833868778,0.17893645128181723,,
PredictiveML-BPMNConstrained,1,0.8142249446996767,0.663018226280457,0.8390854793575295,29385,1.0,0.0,0,,,,
CompositeRuntime,1,0.8142249446996767,0.663018226280457,0.8390854793575295,29385,1.0,0.0,0,,,,
AttributeBased,1,,,,29385,0.0,1.0,0,,,,0.0
RandomCandidateBaseline,1,0.4348477114173898,0.30463872042783624,0.5365293290149352,29385,1.0,0.0,0,,,,
RandomCandidateBaseline,2,0.43083205717202655,0.3006540449165016,0.5337830719493113,29385,1.0,0.0,0,,,,
RandomCandidateBaseline,3,0.4350518972264761,0.3059770779772348,0.5375680574932116,29385,1.0,0.0,0,,,,
RandomCandidateBaseline,4,0.4363450740173558,0.30661680893669835,0.5403005165319553,29385,1.0,0.0,0,,,,
RandomCandidateBaseline,5,0.43498383529011403,0.3089152161592378,0.5376632800126794,29385,1.0,0.0,0,,,,
ProbabilityBranching,1,0.7785264590777607,0.5147063802665626,0.7786382946635285,29385,1.0,0.0,0,,,,
ProbabilityBranching,2,0.7780840564914072,0.5109720602087525,0.7778231847419222,29385,1.0,0.0,0,,,,
ProbabilityBranching,3,0.7760762293687256,0.513386901830965,0.7758904223079843,29385,1.0,0.0,0,,,,
ProbabilityBranching,4,0.7740684022460439,0.4544611490468401,0.7743000176855173,29385,1.0,0.0,0,,,,
ProbabilityBranching,5,0.777233282286881,0.587032390291796,0.7775085005718445,29385,1.0,0.0,0,,,,
AttributeSampling,1,0.7785264590777607,0.5147063802665626,0.7786382946635285,29385,1.0,0.0,0,,,,
AttributeSampling,2,0.7780840564914072,0.5109720602087525,0.7778231847419222,29385,1.0,0.0,0,,,,
AttributeSampling,3,0.7760762293687256,0.513386901830965,0.7758904223079843,29385,1.0,0.0,0,,,,
AttributeSampling,4,0.7740684022460439,0.4544611490468401,0.7743000176855173,29385,1.0,0.0,0,,,,
AttributeSampling,5,0.777233282286881,0.587032390291796,0.7775085005718445,29385,1.0,0.0,0,,,,
