comparison,metric,paired_seed_count,mean_difference,median_difference,std_difference,ci_method,ci_level,difference_ci95_half_width,wins,ties,losses,mean_percent_difference,median_percent_difference
ParkSong-Composite - RoundRobin,cycle_time_mean_s,3,-127.623303831417,-100.11623333333227,57.749698242554224,student_t,0.95,143.4582032465307,3,0,0,-1.6853829743585746,-1.3623089823400216
ParkSong-Composite - RoundRobin,waiting_time_mean_s,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,,
ParkSong-Composite - RoundRobin,horizon_normalized_throughput_cases_per_hour,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,0.0,0.0
ParkSong-Composite - RoundRobin,horizon_normalized_resource_occupation_mean,3,0.07631766729081624,0.07418883165893168,0.009985303164755061,student_t,0.95,0.024804868154827967,0,0,3,99.54410945530758,99.94126557633786
ParkSong-Composite - RoundRobin,resource_fairness_gini,3,-0.0357145917645371,-0.03373230138376221,0.033974726912141186,student_t,0.95,0.08439790036886875,3,0,0,-8.924070920420625,-9.06687057392402
ParkSong-Composite - RoundRobin,weighted_resource_fairness,3,0.18513254983668578,0.18970609104580183,0.017369910345735526,student_t,0.95,0.043149249339563836,0,0,3,185.820688649054,182.11545248653366
ParkSong-Composite - ShortestQueue,cycle_time_mean_s,3,-21.151714303958517,-6.858836507935848,165.45141691825998,student_t,0.95,411.0041042291762,2,0,1,-0.26921786813825926,-0.09092675924766093
ParkSong-Composite - ShortestQueue,waiting_time_mean_s,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,,
ParkSong-Composite - ShortestQueue,horizon_normalized_throughput_cases_per_hour,3,0.06060606060606055,0.09090909090909038,0.05248638810814775,student_t,0.95,0.13038341605301387,0,1,2,2.14285714285714,2.8571428571428688
ParkSong-Composite - ShortestQueue,horizon_normalized_resource_occupation_mean,3,0.07940671263079009,0.075695363819885,0.008635126371222554,student_t,0.95,0.021450843064483728,0,0,3,106.33550367656255,97.438173731553
ParkSong-Composite - ShortestQueue,resource_fairness_gini,3,-0.014637285016598667,-0.012510387661979816,0.006108568187586849,student_t,0.95,0.015174524599582857,3,0,0,-4.056638617347516,-3.566070607422842
ParkSong-Composite - ShortestQueue,weighted_resource_fairness,3,0.17382672159166632,0.1818140202976864,0.01796536339904881,student_t,0.95,0.04462843672487624,0,0,3,158.68298855535105,142.4521299166996
