n_events,cases_admitted,cases_observed,fixed_routes_completed,cases_completed,cases_incomplete,cases_deadlocked,cases_cyclic,cases_censored,cases_active,completed_case_ids,deadlocked_case_ids,cyclic_case_ids,censored_case_ids,active_case_ids,fixed_route_completion_rate,completion_rate,tasks_assigned,cycle_time_mean_s,cycle_time_median_s,cycle_time_std_s,cycle_time_p90_s,cycle_time_p95_s,waiting_time_mean_s,waiting_time_median_s,waiting_time_p90_s,waiting_time_p95_s,horizon_normalized_throughput_cases_per_hour,throughput_cases_per_hour,horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,active_cases_remaining,waiting_queue_remaining,drain_stopped_by_limit,run_window_seconds,throughput_denominator,strategy,seed,simulation_start,simulation_end,drain_until,diagnostic_cycle_guard,cycle_repetition_limit,engine_initialization_seconds,simulation_runtime_seconds
526,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,526,7494.477724137931,7380.538,1990.0393586932948,9915.619599999998,11065.3024,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.0677577796483352,0.0677577796483352,0.0666883333333333,0.0666883333333333,0.4176384993298827,0.092844509853049,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,RoundRobin,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.33747033399959,0.7097941669999273
665,37,37,36,36,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;36;4;5;6;7;8;9,,,35.0,,0.972972972972973,0.972972972972973,665,7730.3796111111105,7308.6945,2522.5682816042777,11333.2525,12422.4805,0.0,0.0,0.0,0.0,3.272727272727273,3.272727272727273,0.0965212936026936,0.0965212936026936,0.0985106313131313,0.0985106313131313,0.3503504076325274,0.1096876045251536,computed,91,0,1,0,39600.0,arrival_plus_drain_horizon,RoundRobin,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.22263750000002,0.9062352909995752
544,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,544,7349.010733333333,6971.093,2257.278263085801,10314.5301,11347.437299999996,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.0742324316498316,0.0742324316498316,0.0680097727272727,0.0680097727272727,0.3720390746590676,0.0970258049437752,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,RoundRobin,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.20607412499976,0.7250318329997754
517,29,29,28,28,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;3;4;5;6;7;8;9,,,28.0,,0.9655172413793104,0.9655172413793104,517,7269.018785714285,6651.193,1897.2792257067867,10250.1014,11164.1378,0.0,0.0,0.0,0.0,2.5454545454545454,2.5454545454545454,0.0656764440703329,0.0656764440703329,0.0601069191919191,0.0601069191919191,0.3685264144490001,0.0961372217693228,computed,91,0,1,0,39600.0,arrival_plus_drain_horizon,ShortestQueue,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.223107542000434,0.7062292910004544
664,37,37,35,35,2,0,0,2,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;35;4;5;6;7;8;9,,,34;36,,0.945945945945946,0.945945945945946,664,7543.2541142857135,7149.881,2235.980792421261,10368.2764,11794.5506,0.0,0.0,0.0,0.0,3.1818181818181817,3.1818181818181817,0.0883943854166666,0.0883943854166666,0.0871611742424242,0.0871611742424242,0.3574524859913771,0.1276316615300902,computed,91,0,2,0,39600.0,arrival_plus_drain_horizon,ShortestQueue,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.241764082999907,0.912786915999277
548,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,548,7442.1804,7274.471,2270.726005255263,10621.3707,10916.994299999998,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.0751735393939393,0.0751735393939393,0.0718336111111111,0.0718336111111111,0.3508171609372852,0.1097065207576232,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ShortestQueue,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.212037415999475,0.7490456670002459
522,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,522,7405.708379310345,7231.035,2280.334593130053,10026.2076,10802.300199999998,0.0,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.1549534942279942,0.1549534942279942,0.1589938888888889,0.1589938888888889,0.3470014352215843,0.2825506008988508,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ParkSong-Composite,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.222574624999652,0.7294151249998322
661,37,37,36,36,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;4;5;6;7;8;9,,,36,,0.972972972972973,0.972972972972973,661,7536.395277777778,6833.48,1913.8592569711911,10425.0865,11049.2445,0.0,0.0,0.0,0.0,3.272727272727273,3.272727272727273,0.1640897492365516,0.1640897492365516,0.1497876262626262,0.1497876262626262,0.3475759978309767,0.3094456818277766,computed,91,0,1,0,39600.0,arrival_plus_drain_horizon,ParkSong-Composite,2,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.210474125000474,0.9222421250005935
540,30,30,30,30,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;4;5;6;7;8;9,,,,,1.0,1.0,540,7248.8945,7135.4985,1937.7138326590232,9642.5455,10162.8209,0.0,0.0,0.0,0.0,2.727272727272727,2.727272727272727,0.1484212633087633,0.1484212633087633,0.1338371717171717,0.1338371717171717,0.3383067732753054,0.2629592861054077,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,ParkSong-Composite,3,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.222974916000567,0.7544076670001232
541,29,29,29,29,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;3;4;5;6;7;8;9,,,,,1.0,1.0,541,7537.898118206896,7339.547,2597.723408198132,11148.881,11622.2852902,10.514852892193309,0.0,0.0,0.0,2.636363636363636,2.636363636363636,0.160257390077243,0.160257390077243,0.137036452020202,0.137036452020202,0.3712435133470417,0.2783500393521156,computed,91,0,0,0,39600.0,arrival_plus_drain_horizon,Kunkler-Rinderle-Ma,1,2016-09-16T15:07:00+00:00,2016-09-16T18:07:00+00:00,2016-09-17T02:07:00+00:00,0,50,17.28146629099956,0.7432143340001858
