Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:03:47.766487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,7,start,2016-01-04 09:03:58.213682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:05:04.694000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,10,start,2016-01-04 09:05:04.694000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,11,complete,2016-01-04 09:06:21.523000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_101,A_Accepted,Application,12,start,2016-01-04 09:06:21.523000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,14,start,2016-01-04 09:09:15.491598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:09:42.843487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,A_Concept,Application,17,start,2016-01-04 09:09:42.843487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,19,start,2016-01-04 09:13:02.784143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_10,A_Concept,Application,18,complete,2016-01-04 09:13:08.730487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,A_Accepted,Application,22,start,2016-01-04 09:13:08.730487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,21,complete,2016-01-04 09:13:40.747143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,A_Concept,Application,24,start,2016-01-04 09:13:40.747143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,26,start,2016-01-04 09:16:39.680973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_10,A_Accepted,Application,23,complete,2016-01-04 09:18:31.416487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,W_Complete application,Application,29,start,2016-01-04 09:18:31.416487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,31,start,2016-01-04 09:19:19.154514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_101,A_Accepted,Application,13,complete,2016-01-04 09:19:24.919000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_101,O_Create Offer,Application,34,start,2016-01-04 09:19:24.919000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,36,start,2016-01-04 09:20:50.219149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,9,complete,2016-01-04 09:25:55.451682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_109,W_Handle leads,Application,39,start,2016-01-04 09:25:55.451682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_10,W_Complete application,Application,30,complete,2016-01-04 09:25:58.416487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,41,start,2016-01-04 09:25:58.416487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,16,complete,2016-01-04 09:26:43.643598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,43,start,2016-01-04 09:26:43.643598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,44,complete,2016-01-04 09:26:45.643598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_1,A_Concept,Application,45,start,2016-01-04 09:26:45.643598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,47,start,2016-01-04 09:27:14.276662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_109,W_Handle leads,Application,40,complete,2016-01-04 09:28:09.451682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_109,A_Concept,Application,50,start,2016-01-04 09:28:09.451682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,25,complete,2016-01-04 09:28:30.980143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,52,start,2016-01-04 09:28:30.980143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,28,complete,2016-01-04 09:28:36.887973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_104,A_Submitted,Application,54,suspend,2016-01-04 09:28:36.887973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,38,complete,2016-01-04 09:28:47.728149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_107,A_Submitted,Application,55,suspend,2016-01-04 09:28:47.728149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,56,start,2016-01-04 09:29:35.934422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,59,start,2016-01-04 09:31:39.373878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,42,complete,2016-01-04 09:32:20.369487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,A_Complete,Application,62,start,2016-01-04 09:32:20.369487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_101,O_Create Offer,Application,35,complete,2016-01-04 09:35:06.208000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_101,O_Created,Application,64,start,2016-01-04 09:35:06.208000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,58,complete,2016-01-04 09:37:52.201422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_104,W_Handle leads,Application,66,start,2016-01-04 09:37:52.201422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,68,start,2016-01-04 09:38:05.382130,Existing loan takeover,New credit,11,0.0,0 days,,,,,,,,
,User_104,W_Handle leads,Application,67,complete,2016-01-04 09:38:21.201422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_104,A_Concept,Application,71,start,2016-01-04 09:38:21.201422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,61,complete,2016-01-04 09:42:25.931878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_107,A_Concept,Application,73,start,2016-01-04 09:42:25.931878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,49,complete,2016-01-04 09:42:48.447662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,75,start,2016-01-04 09:42:48.447662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,53,complete,2016-01-04 09:42:57.186143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_100,O_Create Offer,Application,77,start,2016-01-04 09:42:57.186143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,79,start,2016-01-04 09:43:04.938392,Existing loan takeover,New credit,12,0.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,76,complete,2016-01-04 09:43:08.447662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_112,A_Concept,Application,82,start,2016-01-04 09:43:08.447662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,84,start,2016-01-04 09:44:02.423798,Home improvement,New credit,13,450000.0,0 days,,,,,,,,
,User_104,A_Concept,Application,72,complete,2016-01-04 09:45:09.144422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_104,A_Accepted,Application,87,start,2016-01-04 09:45:09.144422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_10,A_Complete,Application,63,complete,2016-01-04 09:45:10.573487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,W_Complete application,Application,89,start,2016-01-04 09:45:10.573487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_115,A_Create Application,Application,91,start,2016-01-04 09:48:49.046485,Unknown,New credit,14,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,94,start,2016-01-04 09:50:10.132059,Unknown,New credit,15,0.0,0 days,,,,,,,,
,User_112,A_Concept,Application,83,complete,2016-01-04 09:50:57.187662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_112,A_Accepted,Application,97,start,2016-01-04 09:50:57.187662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_112,A_Accepted,Application,98,complete,2016-01-04 09:51:01.752662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,96,complete,2016-01-04 09:51:54.754059,Unknown,New credit,15,0.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,100,start,2016-01-04 09:51:54.754059,Unknown,New credit,15,0.0,0 days,,,,,,,,
,User_10,W_Complete application,Application,90,complete,2016-01-04 09:52:12.573487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,102,start,2016-01-04 09:52:12.573487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_116,W_Complete application,Application,99,start,2016-01-04 09:52:41.752662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_109,A_Concept,Application,51,complete,2016-01-04 09:52:52.422682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_109,A_Accepted,Application,105,start,2016-01-04 09:52:52.422682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_107,A_Concept,Application,74,complete,2016-01-04 09:53:22.554878,Car,New credit,10,0.0,0 days,,,,,,,,
