Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:03:47.766487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,7,start,2016-01-04 09:03:58.213682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,9,complete,2016-01-04 09:05:38.934682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_101,A_Concept,Application,10,start,2016-01-04 09:05:38.934682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:08:52.460487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,12,start,2016-01-04 09:08:52.460487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,14,start,2016-01-04 09:09:15.491598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_101,A_Concept,Application,11,complete,2016-01-04 09:11:34.011682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,17,start,2016-01-04 09:11:34.011682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,19,start,2016-01-04 09:13:02.784143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,21,complete,2016-01-04 09:14:19.613143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_109,A_Concept,Application,22,start,2016-01-04 09:14:19.613143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,24,start,2016-01-04 09:16:39.680973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,13,complete,2016-01-04 09:17:18.582487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_112,A_Accepted,Application,27,start,2016-01-04 09:17:18.582487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,29,start,2016-01-04 09:19:19.154514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,18,complete,2016-01-04 09:20:50.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_115,W_Complete application,Application,32,start,2016-01-04 09:20:50.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,34,start,2016-01-04 09:20:50.219149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_109,A_Concept,Application,23,complete,2016-01-04 09:21:01.791143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_117,A_Accepted,Application,37,start,2016-01-04 09:21:01.791143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:23:41.598000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_119,A_Concept,Application,39,start,2016-01-04 09:23:41.598000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,36,complete,2016-01-04 09:24:33.920149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_118,W_Handle leads,Application,41,start,2016-01-04 09:24:33.920149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_118,W_Handle leads,Application,42,complete,2016-01-04 09:25:12.920149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_12,A_Concept,Application,43,start,2016-01-04 09:25:12.920149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_120,A_Create Application,Application,45,start,2016-01-04 09:27:14.276662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_121,A_Create Application,Application,48,start,2016-01-04 09:29:35.934422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,26,complete,2016-01-04 09:29:43.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_122,W_Handle leads,Application,51,start,2016-01-04 09:29:43.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_119,A_Concept,Application,40,complete,2016-01-04 09:29:46.656000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_123,A_Accepted,Application,53,start,2016-01-04 09:29:46.656000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_122,W_Handle leads,Application,52,complete,2016-01-04 09:30:30.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_124,A_Concept,Application,55,start,2016-01-04 09:30:30.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,16,complete,2016-01-04 09:31:12.729598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,57,start,2016-01-04 09:31:12.729598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,58,complete,2016-01-04 09:31:34.404598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_125,W_Handle leads,Application,59,start,2016-01-04 09:31:34.404598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_126,A_Create Application,Application,61,start,2016-01-04 09:31:39.373878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_125,W_Handle leads,Application,60,complete,2016-01-04 09:33:38.404598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_127,A_Concept,Application,64,start,2016-01-04 09:33:38.404598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_115,W_Complete application,Application,33,complete,2016-01-04 09:33:40.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_129,O_Sent (mail and online),Application,66,start,2016-01-04 09:33:40.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_126,A_Create Application,Application,63,complete,2016-01-04 09:35:03.937878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_13,W_Handle leads,Application,68,start,2016-01-04 09:35:03.937878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_117,A_Accepted,Application,38,complete,2016-01-04 09:35:52.024143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_130,O_Create Offer,Application,70,start,2016-01-04 09:35:52.024143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,31,complete,2016-01-04 09:36:47.306514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_131,W_Handle leads,Application,72,start,2016-01-04 09:36:47.306514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_12,A_Concept,Application,44,complete,2016-01-04 09:37:10.127149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_132,A_Accepted,Application,74,start,2016-01-04 09:37:10.127149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_123,A_Accepted,Application,54,complete,2016-01-04 09:37:28.562000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_133,O_Create Offer,Application,76,start,2016-01-04 09:37:28.562000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_134,A_Create Application,Application,78,start,2016-01-04 09:38:05.382130,Existing loan takeover,New credit,11,0.0,0 days,,,,,,,,
,User_121,A_Create Application,Application,50,complete,2016-01-04 09:38:13.877422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_137,W_Handle leads,Application,81,start,2016-01-04 09:38:13.877422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_124,A_Concept,Application,56,complete,2016-01-04 09:38:27.585973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_138,A_Accepted,Application,83,start,2016-01-04 09:38:27.585973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_112,A_Accepted,Application,28,complete,2016-01-04 09:39:12.015487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_139,O_Create Offer,Application,85,start,2016-01-04 09:39:12.015487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_137,W_Handle leads,Application,82,complete,2016-01-04 09:40:03.877422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_14,A_Concept,Application,87,start,2016-01-04 09:40:03.877422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_131,W_Handle leads,Application,73,complete,2016-01-04 09:40:16.306514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_143,A_Concept,Application,89,start,2016-01-04 09:40:16.306514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_144,A_Create Application,Application,91,start,2016-01-04 09:43:04.938392,Existing loan takeover,New credit,12,0.0,0 days,,,,,,,,
,User_15,A_Create Application,Application,94,start,2016-01-04 09:44:02.423798,Home improvement,New credit,13,450000.0,0 days,,,,,,,,
,User_133,O_Create Offer,Application,77,complete,2016-01-04 09:46:41.892000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_16,O_Created,Application,97,start,2016-01-04 09:46:41.892000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_139,O_Create Offer,Application,86,complete,2016-01-04 09:47:28.282487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_18,O_Created,Application,99,start,2016-01-04 09:47:28.282487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_138,A_Accepted,Application,84,complete,2016-01-04 09:47:46.744973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_146,W_Complete application,Application,101,start,2016-01-04 09:47:46.744973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_130,O_Create Offer,Application,71,complete,2016-01-04 09:48:01.291143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_19,O_Created,Application,103,start,2016-01-04 09:48:01.291143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_2,A_Create Application,Application,105,start,2016-01-04 09:48:49.046485,Unknown,New credit,14,0.0,0 days,,,,,,,,
