Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:02:16.719632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:03:26.351632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Concept,Application,7,start,2016-01-04 09:03:26.351632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Concept,Application,8,complete,2016-01-04 09:06:39.055632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Accepted,Application,9,start,2016-01-04 09:06:39.055632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Accepted,Application,10,complete,2016-01-04 09:11:11.286632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Create Offer,Application,11,start,2016-01-04 09:11:11.286632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Create Offer,Application,12,complete,2016-01-04 09:14:26.285632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Created,Application,13,start,2016-01-04 09:14:26.285632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_100,A_Create Application,Application,15,start,2016-01-04 09:17:18.009248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,18,start,2016-01-04 09:18:11.382417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:21:47.465000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Submitted,Application,21,start,2016-01-04 09:21:47.465000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Submitted,Application,22,complete,2016-01-04 09:22:08.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,W_Handle leads,Application,23,start,2016-01-04 09:22:08.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,A_Create Application,Application,25,start,2016-01-04 09:22:14.121521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,24,complete,2016-01-04 09:22:24.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Concept,Application,28,start,2016-01-04 09:22:24.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Concept,Application,29,complete,2016-01-04 09:22:37.872000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_104,A_Accepted,Application,30,start,2016-01-04 09:22:37.872000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,A_Create Application,Application,27,complete,2016-01-04 09:23:33.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,32,start,2016-01-04 09:23:33.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,33,complete,2016-01-04 09:23:48.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,34,start,2016-01-04 09:23:48.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_104,A_Accepted,Application,31,complete,2016-01-04 09:24:23.843000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,O_Create Offer,Application,36,start,2016-01-04 09:24:23.843000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Concept,Application,35,complete,2016-01-04 09:26:53.282521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_104,A_Accepted,Application,38,start,2016-01-04 09:26:53.282521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,40,start,2016-01-04 09:29:10.676949,Car,Limit raise,5,1.3100613978906679e+65,0 days,,,,,,,,
,User_101,A_Create Application,Application,20,complete,2016-01-04 09:30:42.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_106,W_Handle leads,Application,43,start,2016-01-04 09:30:42.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_106,W_Handle leads,Application,44,complete,2016-01-04 09:34:37.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_101,A_Concept,Application,45,start,2016-01-04 09:34:37.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,47,start,2016-01-04 09:35:06.114077,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,50,start,2016-01-04 09:35:15.768190,Car,New credit,7,0.0,0 days,,,,,,,,
,User_10,O_Created,Application,14,complete,2016-01-04 09:35:34.523632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,53,start,2016-01-04 09:35:34.523632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,54,complete,2016-01-04 09:35:37.365632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Complete,Application,55,start,2016-01-04 09:35:37.365632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Complete,Application,56,complete,2016-01-04 09:36:37.560632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,W_Complete application,Application,57,start,2016-01-04 09:36:37.560632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_109,A_Create Application,Application,59,start,2016-01-04 09:38:49.067681,Car,New credit,8,4987231463679334.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,49,complete,2016-01-04 09:40:53.287077,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_106,A_Submitted,Application,62,suspend,2016-01-04 09:40:53.287077,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,63,start,2016-01-04 09:41:01.669656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,66,start,2016-01-04 09:42:09.531830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_102,O_Create Offer,Application,37,complete,2016-01-04 09:42:18.062000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,O_Created,Application,69,start,2016-01-04 09:42:18.062000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_10,W_Complete application,Application,58,complete,2016-01-04 09:43:42.560632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,71,start,2016-01-04 09:43:42.560632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_100,A_Create Application,Application,17,complete,2016-01-04 09:43:50.969248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,73,start,2016-01-04 09:43:50.969248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_104,A_Accepted,Application,39,complete,2016-01-04 09:45:37.552521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_100,O_Create Offer,Application,75,start,2016-01-04 09:45:37.552521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_102,O_Created,Application,70,complete,2016-01-04 09:47:00.674000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,O_Sent (mail and online),Application,77,start,2016-01-04 09:47:00.674000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_104,A_Create Application,Application,79,start,2016-01-04 09:47:22.406613,"Other, see explanation",New credit,11,0.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,74,complete,2016-01-04 09:47:56.969248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_112,A_Concept,Application,82,start,2016-01-04 09:47:56.969248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,84,start,2016-01-04 09:49:02.222237,Existing loan takeover,New credit,12,5.025678232632856e+51,0 days,,,,,,,,
,User_112,A_Concept,Application,83,complete,2016-01-04 09:49:12.455248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_112,A_Accepted,Application,87,start,2016-01-04 09:49:12.455248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,81,complete,2016-01-04 09:52:16.596613,"Other, see explanation",New credit,11,0.0,0 days,,,,,,,,
,User_104,A_Concept,Application,89,start,2016-01-04 09:52:16.596613,"Other, see explanation",New credit,11,0.0,0 days,,,,,,,,
,User_115,A_Create Application,Application,91,start,2016-01-04 09:52:17.489306,Home improvement,New credit,13,3.139226911224949e+29,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,72,complete,2016-01-04 09:53:24.620632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,94,start,2016-01-04 09:53:24.620632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_102,O_Sent (mail and online),Application,78,complete,2016-01-04 09:54:34.694000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,O_Sent (mail and online),Application,96,start,2016-01-04 09:54:34.694000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_11,A_Create Application,Application,68,complete,2016-01-04 09:54:45.708830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_11,A_Submitted,Application,98,suspend,2016-01-04 09:54:45.708830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_106,A_Create Application,Application,65,complete,2016-01-04 09:56:02.385656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_106,W_Handle leads,Application,99,start,2016-01-04 09:56:02.385656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_106,W_Handle leads,Application,100,complete,2016-01-04 09:56:06.385656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_106,A_Concept,Application,101,start,2016-01-04 09:56:06.385656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_100,O_Create Offer,Application,76,complete,2016-01-04 09:56:29.317521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_100,O_Created,Application,103,start,2016-01-04 09:56:29.317521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_102,O_Sent (mail and online),Application,97,complete,2016-01-04 09:58:25.935000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_102,A_Complete,Application,105,start,2016-01-04 09:58:25.935000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_101,A_Concept,Application,46,complete,2016-01-04 10:01:10.269417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_101,A_Accepted,Application,107,start,2016-01-04 10:01:10.269417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_106,A_Concept,Application,102,complete,2016-01-04 10:01:53.209656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,109,start,2016-01-04 10:01:53.209656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
