Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:00:00.045491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,7,start,2016-01-04 09:00:38.577371,Car,New credit,2,0.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,10,start,2016-01-04 09:02:00.551638,Existing loan takeover,New credit,3,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,9,complete,2016-01-04 09:03:05.883371,Car,New credit,2,0.0,0 days,,,,,,,,
,User_100,A_Concept,Application,13,start,2016-01-04 09:03:05.883371,Car,New credit,2,0.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,15,start,2016-01-04 09:07:08.364742,Existing loan takeover,New credit,4,0.0,0 days,,,,,,,,
,User_100,A_Concept,Application,14,complete,2016-01-04 09:09:19.003371,Car,New credit,2,0.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,18,start,2016-01-04 09:09:19.003371,Car,New credit,2,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:10:39.237000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,20,start,2016-01-04 09:10:39.237000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,22,start,2016-01-04 09:10:44.457340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,21,complete,2016-01-04 09:11:12.237000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,25,start,2016-01-04 09:11:12.237000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,17,complete,2016-01-04 09:15:46.819742,Existing loan takeover,New credit,4,0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,27,start,2016-01-04 09:15:46.819742,Existing loan takeover,New credit,4,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,26,complete,2016-01-04 09:17:14.185000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,29,start,2016-01-04 09:17:14.185000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,30,complete,2016-01-04 09:19:26.946000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_1,W_Complete application,Application,31,start,2016-01-04 09:19:26.946000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,33,start,2016-01-04 09:24:41.520748,Motorcycle,New credit,6,1.218755656696404e+29,0 days,,,,,,,,
,User_107,A_Create Application,Application,36,start,2016-01-04 09:24:52.565062,Unknown,Limit raise,7,-0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,28,complete,2016-01-04 09:25:05.590742,Existing loan takeover,New credit,4,0.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,39,start,2016-01-04 09:25:05.590742,Existing loan takeover,New credit,4,0.0,0 days,,,,,,,,
,User_1,W_Complete application,Application,32,complete,2016-01-04 09:28:32.946000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_109,O_Sent (mail and online),Application,41,start,2016-01-04 09:28:32.946000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,43,start,2016-01-04 09:30:17.896402,Existing loan takeover,Limit raise,8,1.5208363283625071e+137,0 days,,,,,,,,
,User_104,A_Create Application,Application,24,complete,2016-01-04 09:31:08.659340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_104,A_Concept,Application,46,start,2016-01-04 09:31:08.659340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,48,start,2016-01-04 09:31:18.059460,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
,User_100,A_Accepted,Application,19,complete,2016-01-04 09:32:15.530371,Car,New credit,2,0.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,50,complete,2016-01-04 09:34:06.320460,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
,User_11,A_Submitted,Application,52,suspend,2016-01-04 09:34:06.320460,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
,User_106,A_Create Application,Application,35,complete,2016-01-04 09:34:43.223748,Motorcycle,New credit,6,1.218755656696404e+29,0 days,,,,,,,,
,User_106,A_Submitted,Application,53,suspend,2016-01-04 09:34:43.223748,Motorcycle,New credit,6,1.218755656696404e+29,0 days,,,,,,,,
,User_104,A_Concept,Application,47,complete,2016-01-04 09:36:34.250340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,54,start,2016-01-04 09:36:34.250340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:40:37.159491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_10,W_Handle leads,Application,56,start,2016-01-04 09:40:37.159491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_10,W_Handle leads,Application,57,complete,2016-01-04 09:41:37.159491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_10,A_Concept,Application,58,start,2016-01-04 09:41:37.159491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,61,resume,2016-01-04 09:41:42.942402,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
,User_1,A_Create Application,Application,45,complete,2016-01-04 09:41:42.942402,Existing loan takeover,Limit raise,8,1.5208363283625071e+137,0 days,,,,,,,,
,User_1,A_Submitted,Application,60,suspend,2016-01-04 09:41:42.942402,Existing loan takeover,Limit raise,8,1.5208363283625071e+137,0 days,,,,,,,,
,User_101,A_Create Application,Application,12,complete,2016-01-04 09:42:06.870638,Existing loan takeover,New credit,3,0.0,0 days,,,,,,,,
,User_101,A_Concept,Application,63,start,2016-01-04 09:42:06.870638,Existing loan takeover,New credit,3,0.0,0 days,,,,,,,,
,User_109,O_Sent (mail and online),Application,42,complete,2016-01-04 09:45:51.844000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_104,A_Complete,Application,65,start,2016-01-04 09:45:51.844000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_104,A_Complete,Application,66,complete,2016-01-04 09:49:54.944000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_104,W_Complete application,Application,67,start,2016-01-04 09:49:54.944000,"Other, see explanation",New credit,0,0.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,55,complete,2016-01-04 09:50:19.376340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_100,O_Create Offer,Application,69,start,2016-01-04 09:50:19.376340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_100,O_Create Offer,Application,70,complete,2016-01-04 09:50:56.205340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_100,O_Created,Application,71,start,2016-01-04 09:50:56.205340,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_10,A_Concept,Application,59,complete,2016-01-04 09:51:03.495491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_10,A_Accepted,Application,73,start,2016-01-04 09:51:03.495491,Home improvement,New credit,1,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,76,resume,2016-01-04 09:51:06.285402,Motorcycle,New credit,6,1.218755656696404e+29,0 days,,,,,,,,
,User_1,A_Submitted,Application,62,complete,2016-01-04 09:51:06.285402,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
,User_106,W_Handle leads,Application,75,start,2016-01-04 09:51:06.285402,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
,User_106,W_Handle leads,Application,78,complete,2016-01-04 09:51:35.285402,"Other, see explanation",New credit,9,3.42038635313198e+25,0 days,,,,,,,,
