Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:02:16.719632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:03:26.351632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_100,A_Concept,Application,7,start,2016-01-04 09:03:26.351632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_100,A_Concept,Application,8,complete,2016-01-04 09:06:39.055632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_101,A_Accepted,Application,9,start,2016-01-04 09:06:39.055632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_101,A_Accepted,Application,10,complete,2016-01-04 09:11:11.286632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_102,O_Create Offer,Application,11,start,2016-01-04 09:11:11.286632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_102,O_Create Offer,Application,12,complete,2016-01-04 09:14:26.285632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_104,O_Created,Application,13,start,2016-01-04 09:14:26.285632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_106,A_Create Application,Application,15,start,2016-01-04 09:17:18.009248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,18,start,2016-01-04 09:18:11.382417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:21:47.465000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Submitted,Application,21,start,2016-01-04 09:21:47.465000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_1,A_Submitted,Application,22,complete,2016-01-04 09:22:08.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_109,W_Handle leads,Application,23,start,2016-01-04 09:22:08.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_11,A_Create Application,Application,25,start,2016-01-04 09:22:14.121521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_109,W_Handle leads,Application,24,complete,2016-01-04 09:23:18.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_112,A_Concept,Application,28,start,2016-01-04 09:23:18.816000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_11,A_Create Application,Application,27,complete,2016-01-04 09:23:33.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_113,W_Handle leads,Application,30,start,2016-01-04 09:23:33.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_113,W_Handle leads,Application,31,complete,2016-01-04 09:24:35.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_115,A_Concept,Application,32,start,2016-01-04 09:24:35.795521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,34,start,2016-01-04 09:29:10.676949,Car,Limit raise,5,1.3100613978906679e+65,0 days,,,,,,,,
,User_107,A_Create Application,Application,20,complete,2016-01-04 09:30:42.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_117,W_Handle leads,Application,37,start,2016-01-04 09:30:42.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_117,W_Handle leads,Application,38,complete,2016-01-04 09:31:41.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_119,A_Concept,Application,39,start,2016-01-04 09:31:41.211417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_12,A_Create Application,Application,41,start,2016-01-04 09:35:06.114077,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_120,A_Create Application,Application,44,start,2016-01-04 09:35:15.768190,Car,New credit,7,0.0,0 days,,,,,,,,
,User_104,O_Created,Application,14,complete,2016-01-04 09:35:34.523632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_118,O_Sent (mail and online),Application,47,start,2016-01-04 09:35:34.523632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_116,A_Create Application,Application,36,complete,2016-01-04 09:37:45.513949,Car,Limit raise,5,1.3100613978906679e+65,0 days,,,,,,,,
,User_121,A_Concept,Application,49,start,2016-01-04 09:37:45.513949,Car,Limit raise,5,1.3100613978906679e+65,0 days,,,,,,,,
,User_122,A_Create Application,Application,51,start,2016-01-04 09:38:49.067681,Car,New credit,8,4987231463679334.0,0 days,,,,,,,,
,User_112,A_Concept,Application,29,complete,2016-01-04 09:39:16.874000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_123,A_Accepted,Application,54,start,2016-01-04 09:39:16.874000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_119,A_Concept,Application,40,complete,2016-01-04 09:40:29.497417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_124,A_Accepted,Application,56,start,2016-01-04 09:40:29.497417,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_120,A_Create Application,Application,46,complete,2016-01-04 09:40:51.577190,Car,New credit,7,0.0,0 days,,,,,,,,
,User_125,W_Handle leads,Application,58,start,2016-01-04 09:40:51.577190,Car,New credit,7,0.0,0 days,,,,,,,,
,User_126,A_Create Application,Application,60,start,2016-01-04 09:41:01.669656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_118,O_Sent (mail and online),Application,48,complete,2016-01-04 09:41:58.604632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_127,A_Complete,Application,63,start,2016-01-04 09:41:58.604632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_129,A_Create Application,Application,65,start,2016-01-04 09:42:09.531830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_115,A_Concept,Application,33,complete,2016-01-04 09:42:20.355521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_13,A_Accepted,Application,68,start,2016-01-04 09:42:20.355521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_13,A_Accepted,Application,69,complete,2016-01-04 09:42:45.574521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_130,W_Complete application,Application,70,start,2016-01-04 09:42:45.574521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_125,W_Handle leads,Application,59,complete,2016-01-04 09:43:25.577190,Car,New credit,7,0.0,0 days,,,,,,,,
,User_131,A_Concept,Application,72,start,2016-01-04 09:43:25.577190,Car,New credit,7,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,17,complete,2016-01-04 09:43:50.969248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,74,start,2016-01-04 09:43:50.969248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_127,A_Complete,Application,64,complete,2016-01-04 09:44:19.142632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_132,O_Create Offer,Application,76,start,2016-01-04 09:44:19.142632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_132,O_Create Offer,Application,77,complete,2016-01-04 09:44:29.127632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_133,O_Created,Application,78,start,2016-01-04 09:44:29.127632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_126,A_Create Application,Application,62,complete,2016-01-04 09:46:48.842656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_134,A_Concept,Application,80,start,2016-01-04 09:46:48.842656,Unknown,New credit,9,-0.0,0 days,,,,,,,,
,User_137,A_Create Application,Application,82,start,2016-01-04 09:47:22.406613,"Other, see explanation",New credit,11,0.0,0 days,,,,,,,,
,User_129,A_Create Application,Application,67,complete,2016-01-04 09:48:25.730830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_138,W_Handle leads,Application,85,start,2016-01-04 09:48:25.730830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_139,A_Create Application,Application,87,start,2016-01-04 09:49:02.222237,Existing loan takeover,New credit,12,5.025678232632856e+51,0 days,,,,,,,,
,User_133,O_Created,Application,79,complete,2016-01-04 09:49:24.116632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_14,O_Sent (mail and online),Application,90,start,2016-01-04 09:49:24.116632,Caravan / Camper,New credit,1,376.4,0 days,,,,,,,,
,User_130,W_Complete application,Application,71,complete,2016-01-04 09:51:53.574521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_143,O_Sent (mail and online),Application,92,start,2016-01-04 09:51:53.574521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_138,W_Handle leads,Application,86,complete,2016-01-04 09:52:03.730830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_144,A_Concept,Application,94,start,2016-01-04 09:52:03.730830,Existing loan takeover,New credit,10,6.139684184758594e+96,0 days,,,,,,,,
,User_15,A_Create Application,Application,96,start,2016-01-04 09:52:17.489306,Home improvement,New credit,13,3.139226911224949e+29,0 days,,,,,,,,
,User_121,A_Concept,Application,50,complete,2016-01-04 09:52:19.572949,Car,Limit raise,5,1.3100613978906679e+65,0 days,,,,,,,,
,User_16,A_Accepted,Application,99,start,2016-01-04 09:52:19.572949,Car,Limit raise,5,1.3100613978906679e+65,0 days,,,,,,,,
,User_122,A_Create Application,Application,53,complete,2016-01-04 09:53:26.594681,Car,New credit,8,4987231463679334.0,0 days,,,,,,,,
,User_122,A_Submitted,Application,101,suspend,2016-01-04 09:53:26.594681,Car,New credit,8,4987231463679334.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,103,resume,2016-01-04 09:53:37.134248,Car,New credit,8,4987231463679334.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,75,complete,2016-01-04 09:53:37.134248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_146,W_Handle leads,Application,102,start,2016-01-04 09:53:37.134248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_146,W_Handle leads,Application,105,complete,2016-01-04 09:54:10.134248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_18,A_Concept,Application,106,start,2016-01-04 09:54:10.134248,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_12,A_Create Application,Application,43,complete,2016-01-04 09:55:22.250077,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_12,A_Submitted,Application,108,suspend,2016-01-04 09:55:22.250077,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_123,A_Accepted,Application,55,complete,2016-01-04 09:55:27.170000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_19,O_Create Offer,Application,109,start,2016-01-04 09:55:27.170000,Existing loan takeover,New credit,0,7.089612009070264e+18,0 days,,,,,,,,
,User_143,O_Sent (mail and online),Application,93,complete,2016-01-04 09:55:44.815521,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
