mode,method,runs,active_reservation_count_sum_sum,active_reservation_count_sum_mean,reservations_active_after_cleanup_sum,reservations_active_after_cleanup_mean,waiting_retry_after_reservation_change_sum,waiting_retry_after_reservation_change_mean,reservation_decisions_sum,reservation_decisions_mean,reservations_created_sum,reservations_created_mean,reservations_used_sum,reservations_used_mean,reservations_expired_sum,reservations_expired_mean,reservations_cancelled_sum,reservations_cancelled_mean,reservations_overwritten_sum,reservations_overwritten_mean,reservations_rejected_existing_kept_sum,reservations_rejected_existing_kept_mean,reservations_unresolved_at_horizon_sum,reservations_unresolved_at_horizon_mean,unresolved_reservations_sum,unresolved_reservations_mean,reservation_count_mean_sum,reservation_count_mean_mean,batch_calls_sum,batch_calls_mean,batches_executed_sum,batches_executed_mean,batch_assignments_sum,batch_assignments_mean,batch_unassigned_tasks_sum,batch_unassigned_tasks_mean,batch_size_sum_sum,batch_size_sum_mean,batch_size_max_sum,batch_size_max_mean,batch_average_size_sum,batch_average_size_mean,kunkler_calls_sum,kunkler_calls_mean,kunkler_scoring_decisions_sum,kunkler_scoring_decisions_mean,kunkler_candidate_resources_total_sum,kunkler_candidate_resources_total_mean,kunkler_candidate_tasks_total_sum,kunkler_candidate_tasks_total_mean,kunkler_assignments_sum,kunkler_assignments_mean,kunkler_idle_decisions_sum,kunkler_idle_decisions_mean,kunkler_invalid_decisions_filtered_sum,kunkler_invalid_decisions_filtered_mean,kunkler_fallback_count_sum,kunkler_fallback_count_mean,kunkler_sequential_repair_decisions_sum,kunkler_sequential_repair_decisions_mean,kunkler_tie_count_sum,kunkler_tie_count_mean,kunkler_selected_score_sum_sum,kunkler_selected_score_sum_mean,kunkler_selected_score_min_sum,kunkler_selected_score_min_mean,kunkler_selected_score_max_sum,kunkler_selected_score_max_mean,kunkler_selected_score_count_sum,kunkler_selected_score_count_mean,kunkler_selected_score_mean_sum,kunkler_selected_score_mean_mean,resources_allocated_sum,resources_allocated_mean,resources_released_sum,resources_released_mean
fixed_replay,Batch Allocation,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9243.0,1848.6,8530.0,1706.0,5420.0,1084.0,14485.0,2897.0,21547.0,4309.4,138.0,27.6,11.548311367408775,2.309662273481755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed_replay,Kunkler,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,9250.0,1850.0,5285.0,1057.0,272116.0,54423.2,8166.0,1633.2,5423.0,1084.6,266693.0,53338.6,814.0,162.8,0.0,0.0,245.0,49.0,0.0,0.0,4543457.148,908691.4296,13.543,2.7085999999999997,48613.278999999995,9722.655799999999,5423.0,1084.6,4189.011515714584,837.8023031429168,,,,
fixed_replay,ParkSong-Composite,5,382512.0,76502.4,0.0,0.0,0.0,0.0,2501.0,500.2,2501.0,500.2,377.0,75.4,745.0,149.0,1379.0,275.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.2246084339951,39.24492168679902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed_replay,R-RRA / RoundRobin,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed_replay,R-SHQ / ShortestQueue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generative,Batch Allocation,3,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.0,527.3333333333334,1578.0,526.0
generative,Kunkler,3,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621.0,540.3333333333334,1619.0,539.6666666666666
generative,ParkSong-Composite,3,,,,,,,1386.0,462.0,1386.0,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.0,529.3333333333334,1581.0,527.0
generative,R-RRA / RoundRobin,3,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.0,521.6666666666666,1561.0,520.3333333333334
generative,R-SHQ / ShortestQueue,3,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.0,543.0,1624.0,541.3333333333334
