comparison,metric,paired_seed_count,mean_difference,median_difference,std_difference,ci_method,ci_level,difference_ci95_half_width,wins,ties,losses,mean_percent_difference,median_percent_difference
ParkSong-Composite - RoundRobin,cycle_time_mean_s,5,1551.4787715386205,10237.103513223672,25837.052543567082,student_t,0.95,32080.93796304624,2,0,3,3.894205798604559,13.627779760491233
ParkSong-Composite - RoundRobin,waiting_time_mean_s,5,1114.5514226108623,1154.2192479308758,378.8317851316206,student_t,0.95,470.38178897319733,0,0,5,72.72786178618799,60.67716787312024
ParkSong-Composite - RoundRobin,horizon_normalized_throughput_cases_per_hour,5,-0.0035519125683060203,0.0,0.007956990638482786,student_t,0.95,0.009879908809848459,2,2,1,-6.838596491228091,0.0
ParkSong-Composite - RoundRobin,horizon_normalized_resource_occupation_mean,5,-0.00031992486957598004,8.443263471879982e-05,0.0009120319160066156,student_t,0.95,0.0011324371953182139,2,0,3,-7.588683332423483,4.643388955721775
ParkSong-Composite - RoundRobin,resource_fairness_gini,5,-0.003210663989820217,0.010822095590538983,0.11076138674866219,student_t,0.95,0.13752842631693732,2,0,3,2.2412958578959343,2.2856655970104374
ParkSong-Composite - RoundRobin,weighted_resource_fairness,5,-0.0009190078103610197,0.00045948529845910024,0.003200467971105292,student_t,0.95,0.003973905857125686,1,0,4,-2.813637990669728,11.675871378517012
ParkSong-Composite - ShortestQueue,cycle_time_mean_s,5,22201.23411080179,16157.411727960513,18456.473390619914,student_t,0.95,22916.738542938503,0,0,5,33.556267741017685,23.349174445821486
ParkSong-Composite - ShortestQueue,waiting_time_mean_s,5,1101.4421823833843,1334.2550332760718,375.1401992869974,student_t,0.95,465.79807973365007,0,0,5,66.1594209938336,79.15942756706906
ParkSong-Composite - ShortestQueue,horizon_normalized_throughput_cases_per_hour,5,-0.0035519125683060203,0.0,0.007956990638482786,student_t,0.95,0.009879908809848459,2,2,1,-6.838596491228091,0.0
ParkSong-Composite - ShortestQueue,horizon_normalized_resource_occupation_mean,5,0.00030304579120044,0.0003989533137876999,0.0002470823740250955,student_t,0.95,0.00030679328841767795,1,0,4,22.058300622841564,29.82930110801935
ParkSong-Composite - ShortestQueue,resource_fairness_gini,5,0.04260498566664479,0.06895909766032404,0.05652673900210625,student_t,0.95,0.07018721675477589,2,0,3,9.814269596506037,14.010638783433379
ParkSong-Composite - ShortestQueue,weighted_resource_fairness,5,0.0008482030557207,0.0010509338488398,0.0004983642483565534,student_t,0.95,0.0006188009451762117,1,0,4,26.04296282579559,32.228972571793754
