n_events,cases_admitted,cases_observed,fixed_routes_completed,cases_completed,cases_incomplete,cases_deadlocked,cases_cyclic,cases_censored,cases_active,completed_case_ids,deadlocked_case_ids,cyclic_case_ids,censored_case_ids,active_case_ids,fixed_route_completion_rate,completion_rate,tasks_assigned,cycle_time_mean_s,cycle_time_median_s,cycle_time_std_s,cycle_time_p90_s,cycle_time_p95_s,waiting_time_mean_s,waiting_time_median_s,waiting_time_p90_s,waiting_time_p95_s,horizon_normalized_throughput_cases_per_hour,throughput_cases_per_hour,horizon_normalized_resource_occupation_mean,resource_occupation_mean,horizon_normalized_resource_occupation_median,resource_occupation_median,resource_fairness_gini,weighted_resource_fairness,weighted_resource_fairness_status,weighted_fairness_resource_count,active_cases_remaining,waiting_queue_remaining,drain_stopped_by_limit,run_window_seconds,throughput_denominator,strategy,seed,simulation_start,simulation_end,drain_until,diagnostic_cycle_guard,cycle_repetition_limit,engine_initialization_seconds,simulation_runtime_seconds
2345,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2334,75119.37889473686,49824.3385,171897.25425483257,119876.99300000002,193285.31175,1902.229929953917,0.0,2447.9220000000005,8324.940399999996,0.0519125683060109,0.0519125683060109,0.0018183407748937,0.0018183407748937,0.0013909607430176,0.0013909607430176,0.4564414725345815,0.0039272599504334,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,RoundRobin,1,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.24745329199868,9.23245466699882
2310,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2299,92868.61293421053,16921.614,200178.35083364503,190062.7575,503109.11375,1258.9191852534564,0.0,578.3044000000004,3880.670799999991,0.0519125683060109,0.0519125683060109,0.0032923191988784,0.0032923191988784,0.0013241350751366,0.0013241350751366,0.7134084179178543,0.009768424620453,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,RoundRobin,2,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.02160379199995,6.1833348750005825
2316,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2305,92290.17622368422,41095.62,236041.72565329133,170105.16700000002,269268.52749999997,1654.2067391705068,0.0,2043.2168000000045,5039.4014,0.0519125683060109,0.0519125683060109,0.0018380245420445,0.0018380245420445,0.0014632860883424,0.0014632860883424,0.4549711521134476,0.0039353405288836,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,RoundRobin,3,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.223118333000457,8.167543584000668
2323,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2313,99679.34088157896,32523.0685,235809.16816193855,173116.399,338594.41875,1339.0667852534564,0.0,841.9066000000004,3156.9697999999985,0.0519125683060109,0.0519125683060109,0.0016337107240437,0.0016337107240437,0.0012169791666666,0.0012169791666666,0.47347676776051,0.0036449695464126,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,RoundRobin,4,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.2121400420001,7.262630833000003
2355,76,76,75,75,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,40.0,,0.986842105263158,0.986842105263158,2344,69212.96960000001,45733.841,114492.74584784354,156146.16080000004,200998.44189999992,2166.6825909510617,0.0,3152.4614,7746.840699999988,0.0512295081967213,0.0512295081967213,0.0016114322108519,0.0016114322108519,0.0012348131071645,0.0012348131071645,0.4996343461314506,0.0037404324998476,computed,149,0,0,1,5270400.0,arrival_plus_drain_horizon,RoundRobin,5,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.054232624999713,10.460081249999348
2296,76,76,75,75,1,0,0,1,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,45.0,,0.986842105263158,0.986842105263158,2285,69199.07068000002,27941.666,165087.70237604796,91465.41620000004,150146.11959999998,1705.994051996286,0.0,2096.530399999998,6039.055799999997,0.0512295081967213,0.0512295081967213,0.0015841377391736,0.0015841377391736,0.0015780682680631,0.0015780682680631,0.4246641981885411,0.0032892150161066,computed,149,0,0,1,5270400.0,arrival_plus_drain_horizon,ShortestQueue,1,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.059251624999888,8.197420915999828
2321,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2310,53384.109249999994,20966.363,73357.10672803801,102007.5575,199403.395,1599.813935483871,0.0,1216.0904000000005,5456.7929999999815,0.0519125683060109,0.0519125683060109,0.0014797125538592,0.0014797125538592,0.0013741276753187,0.0013741276753187,0.4330070910346293,0.0031367754770539,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,ShortestQueue,2,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.136291625000013,8.012980083000002
2330,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2319,72283.66806578946,34035.354,181412.67220148383,148353.584,178273.8135,1774.709330875576,0.0,2471.4650000000024,7051.820399999994,0.0519125683060109,0.0519125683060109,0.0013374544456908,0.0013374544456908,0.0011988095780206,0.0011988095780206,0.4921909609279447,0.0031926046892269,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,ShortestQueue,3,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.08297283399952,8.781872167000984
2333,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2322,73108.90978947368,47206.7865,145843.5328670327,154519.218,226889.36875,1638.2845207373273,0.0,2151.141,6755.458599999999,0.0519125683060109,0.0519125683060109,0.0013803152598388,0.0013803152598388,0.0012396508803885,0.0012396508803885,0.4904653552156231,0.0032608357169895,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,ShortestQueue,4,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.19353491700167,8.143493458999728
2331,76,76,76,76,0,0,0,0,0,0;1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;39;4;40;41;42;43;44;45;46;47;48;49;5;50;51;52;53;54;55;56;57;58;59;6;60;61;62;63;64;65;66;67;68;69;7;70;71;72;73;74;75;8;9,,,,,1.0,1.0,2320,57945.94405263159,20477.8125,115246.27194563152,119190.995,174483.7685,1667.8495926267278,0.0,1547.4894000000022,5437.7815999999975,0.0519125683060109,0.0519125683060109,0.0012973541482677,0.0012973541482677,0.0012195038327261,0.0012195038327261,0.5285263028087807,0.0033009419162447,computed,149,0,0,0,5270400.0,arrival_plus_drain_horizon,ShortestQueue,5,2016-09-16T15:07:00+00:00,2016-09-17T15:07:00+00:00,2016-11-16T15:07:00+00:00,0,50,17.097820625000168,9.23130562499864
