strategy,seed,predictions_consumed,prediction_execution_matches,prediction_execution_mismatches,reservations_created,reservations_used,reservations_expired,reservations_cancelled,unresolved_reservations,reservation_utilization_rate,reservations_rejected_by_probability_threshold,reservations_filtered_by_reservation_margin,reservations_rejected_by_no_show_penalty,global_assignment_calls,feasible_candidate_pairs,average_candidate_count,simulation_runtime_seconds
RoundRobin,1,0,493,516,0,0,0,0,0,,0,0,0,0,0,,9.23245466699882
RoundRobin,2,0,486,523,0,0,0,0,0,,0,0,0,0,0,,6.1833348750005825
RoundRobin,3,0,487,522,0,0,0,0,0,,0,0,0,0,0,,8.167543584000668
RoundRobin,4,0,488,521,0,0,0,0,0,,0,0,0,0,0,,7.262630833000003
RoundRobin,5,0,482,525,0,0,0,0,0,,0,0,0,0,0,,10.460081249999348
ShortestQueue,1,0,485,516,0,0,0,0,0,,0,0,0,0,0,,8.197420915999828
ShortestQueue,2,0,483,526,0,0,0,0,0,,0,0,0,0,0,,8.012980083000002
ShortestQueue,3,0,486,523,0,0,0,0,0,,0,0,0,0,0,,8.781872167000984
ShortestQueue,4,0,480,529,0,0,0,0,0,,0,0,0,0,0,,8.143493458999728
ShortestQueue,5,0,483,526,0,0,0,0,0,,0,0,0,0,0,,9.23130562499864
ParkSong-Composite,1,1009,481,528,380,88,91,201,0,0.23157894736842105,0,33174,0,1150,16663,12.28,11.935359125000105
ParkSong-Composite,2,654,312,316,351,75,101,168,0,0.21367521367521367,0,6105,0,807,11193,14.260223048327138,5.444776749998709
ParkSong-Composite,3,1009,481,528,415,102,117,196,0,0.2457831325301205,0,13257,0,1196,13946,10.207357859531772,9.464476542001648
ParkSong-Composite,4,1003,481,521,392,108,103,169,0,0.2755102040816326,0,30334,0,1142,16378,8.876532399299474,10.24850349999906
ParkSong-Composite,5,1009,479,530,394,114,106,174,0,0.2893401015228426,0,28597,0,1179,14916,11.725190839694656,12.926160334001906
Kunkler-Rinderle-Ma,1,0,484,525,0,0,0,0,0,,0,0,0,0,0,,8.78637745800006
Kunkler-Rinderle-Ma,2,0,487,522,0,0,0,0,0,,0,0,0,0,0,,7.926633582999784
Kunkler-Rinderle-Ma,3,0,494,515,0,0,0,0,0,,0,0,0,0,0,,7.771372458999394
Kunkler-Rinderle-Ma,4,0,486,523,0,0,0,0,0,,0,0,0,0,0,,6.9246099589981895
Kunkler-Rinderle-Ma,5,0,486,523,0,0,0,0,0,,0,0,0,0,0,,7.706371791999118
Batch,1,0,491,518,0,0,0,0,0,,0,0,0,0,0,,7.889476542000921
Batch,2,0,485,519,0,0,0,0,0,,0,0,0,0,0,,8.607513499999186
Batch,3,0,486,523,0,0,0,0,0,,0,0,0,0,0,,7.544522749998578
Batch,4,0,485,524,0,0,0,0,0,,0,0,0,0,0,,8.457314082999801
Batch,5,0,486,523,0,0,0,0,0,,0,0,0,0,0,,7.675581834002514
