strategy,seed,allocation_epochs,epochs_with_waiting_tasks,epochs_with_zero_eligible_resource,epochs_with_less_eligible_resources_than_waiting_tasks,epochs_with_all_eligible_resources_occupied,epochs_with_resources_unavailable_by_calendar,average_waiting_tasks_per_allocation_epoch,average_eligible_resources_per_waiting_task,fraction_tasks_waited_no_available_eligible_resource,max_waiting_queue_length,mean_waiting_queue_length,fraction_epochs_strategic_idling_feasible
RoundRobin,1,1757,1757,535,,0,,2.837791690381332,9.949859606899318,0.10730044123545929,23,2.837791690381332,6.633466135458168
RoundRobin,2,1613,1613,420,,0,,1.6236825790452574,17.135547919053074,0.16036655211912945,23,1.6236825790452574,8.532548047117173
RoundRobin,3,1740,1740,553,,0,,2.3695402298850574,12.031772980839195,0.13412563667232597,28,2.3695402298850574,4.688505747126436
RoundRobin,4,1521,1521,305,,0,,1.7449046679815912,16.33835719668425,0.11492087415222306,24,1.7449046679815912,7.533859303090073
RoundRobin,5,1697,1697,454,,0,,2.519151443724219,10.774269005847954,0.10619883040935672,27,2.519151443724219,5.977607542722452
ShortestQueue,1,1593,1593,412,,0,,2.8141870684243564,10.043720722730315,0.09190274369841624,28,2.8141870684243564,4.328311362209667
ShortestQueue,2,1462,1462,239,,0,,1.9076607387140903,14.141269272140551,0.08569379705987809,22,1.9076607387140905,6.680574555403557
ShortestQueue,3,1688,1688,490,,0,,2.441943127962085,11.49490538573508,0.11887433284813198,29,2.441943127962085,6.385663507109005
ShortestQueue,4,1675,1675,474,,0,,2.8734328358208954,10.223768959069188,0.09848327446499065,26,2.8734328358208954,6.237611940298508
ShortestQueue,5,1730,1730,525,,0,,2.346820809248555,12.144088669950738,0.12931034482758622,28,2.346820809248555,4.853179190751445
ParkSong-Composite,1,1947,1947,411,,0,,3.7570621468926553,1.4813397129186603,0.05618591934381408,27,3.7570621468926553,7.7272727272727275
ParkSong-Composite,2,1294,1294,368,,1,,8.39953632148377,0.7582114269942037,0.03385776060355138,36,8.39953632148377,3.241112828438949
ParkSong-Composite,3,1946,1946,385,,0,,3.76464542651593,1.329101829101829,0.052552552552552555,28,3.76464542651593,5.399794450154163
ParkSong-Composite,4,1657,1657,307,,0,,3.543150271575136,2.106966445239312,0.05229092147845341,26,3.543150271575136,5.048280024140012
ParkSong-Composite,5,1929,1929,424,,0,,3.6423017107309485,1.401508682038144,0.06034728152576146,28,3.642301710730949,7.272680145152929
Kunkler-Rinderle-Ma,1,1913,1913,719,,0,,3.1233664401463668,9.220753138075313,0.12033472803347281,30,3.1233664401463668,7.6095138525875585
Kunkler-Rinderle-Ma,2,1969,1969,787,,0,,2.744540375825292,11.095114729829756,0.14563286454478164,26,2.744540375825292,6.123920771965465
Kunkler-Rinderle-Ma,3,1718,1718,508,,0,,1.940046565774156,14.757575757575758,0.15241524152415242,25,1.940046565774156,7.211874272409779
Kunkler-Rinderle-Ma,4,1924,1924,732,,0,,2.2666320166320166,13.264388901628067,0.16785141022701217,25,2.2666320166320166,5.933991683991684
Kunkler-Rinderle-Ma,5,1686,1686,479,,0,,1.756820877817319,17.317015530047264,0.16171505739365294,25,1.756820877817319,8.080664294187425
Batch,1,2023,2023,839,,0,,2.551161641127039,12.310792482077117,0.16256539430342956,28,2.551161641127039,7.287691547207118
Batch,2,1767,1767,575,,0,,2.2127900396151667,13.758056265984655,0.14705882352941177,26,2.2127900396151667,7.976796830786644
Batch,3,1692,1692,510,,0,,1.758274231678487,17.043361344537814,0.17142857142857143,26,1.758274231678487,4.555555555555555
Batch,4,1941,1941,758,,0,,2.921689850592478,9.729677305589844,0.13366249338740963,32,2.921689850592478,7.096857290056672
Batch,5,1820,1820,637,,0,,2.1043956043956045,14.093994778067884,0.16631853785900783,26,2.1043956043956045,5.34065934065934
