strategy,seed,predictions_consumed,prediction_execution_matches,prediction_execution_mismatches,reservations_created,reservations_used,reservations_expired,reservations_cancelled,unresolved_reservations,reservation_utilization_rate,reservations_rejected_by_probability_threshold,reservations_filtered_by_reservation_margin,reservations_rejected_by_no_show_penalty,global_assignment_calls,feasible_candidate_pairs,average_candidate_count,simulation_runtime_seconds
RoundRobin,1,0,554,449,0,0,0,0,0,,0,0,0,0,0,,9.29764966699986
RoundRobin,2,0,559,450,0,0,0,0,0,,0,0,0,0,0,,6.292177874999652
RoundRobin,3,0,563,446,0,0,0,0,0,,0,0,0,0,0,,8.586165208000239
RoundRobin,4,0,564,445,0,0,0,0,0,,0,0,0,0,0,,7.396024250000664
RoundRobin,5,0,560,449,0,0,0,0,0,,0,0,0,0,0,,9.996185666999736
ShortestQueue,1,0,553,448,0,0,0,0,0,,0,0,0,0,0,,8.293466666000313
ShortestQueue,2,0,560,449,0,0,0,0,0,,0,0,0,0,0,,8.131130333000328
ShortestQueue,3,0,561,448,0,0,0,0,0,,0,0,0,0,0,,8.874905417000264
ShortestQueue,4,0,562,447,0,0,0,0,0,,0,0,0,0,0,,8.237073875000533
ShortestQueue,5,0,556,453,0,0,0,0,0,,0,0,0,0,0,,9.321716250000463
ParkSong-Composite,1,1009,554,455,246,62,85,99,0,0.25203252032520324,0,21924,0,1095,15764,12.595433789954338,14.898707624999588
ParkSong-Composite,2,996,560,435,257,89,70,95,0,0.3463035019455253,0,19226,0,1140,14927,8.933333333333334,11.446779083000363
ParkSong-Composite,3,1009,562,447,436,132,160,144,0,0.30275229357798167,0,9444,0,1179,15242,9.207803223070398,10.991302165999514
ParkSong-Composite,4,1009,558,451,298,107,54,137,0,0.35906040268456374,0,20233,0,1119,14160,10.291331546023235,10.289983707999454
ParkSong-Composite,5,1009,557,452,300,93,71,136,0,0.31,0,27655,0,1119,14729,10.316353887399464,13.536180083000543
Kunkler-Rinderle-Ma,1,0,553,456,0,0,0,0,0,,0,0,0,0,0,,9.07114400000046
Kunkler-Rinderle-Ma,2,0,563,444,0,0,0,0,0,,0,0,0,0,0,,8.082994874999713
Kunkler-Rinderle-Ma,3,0,561,448,0,0,0,0,0,,0,0,0,0,0,,7.768114540999704
Kunkler-Rinderle-Ma,4,0,567,442,0,0,0,0,0,,0,0,0,0,0,,7.295264291000421
Kunkler-Rinderle-Ma,5,0,556,453,0,0,0,0,0,,0,0,0,0,0,,7.834417707999819
Batch,1,0,556,453,0,0,0,0,0,,0,0,0,0,0,,7.992025374999685
Batch,2,0,563,441,0,0,0,0,0,,0,0,0,0,0,,8.68123679099972
Batch,3,0,558,451,0,0,0,0,0,,0,0,0,0,0,,7.578265125000144
Batch,4,0,560,449,0,0,0,0,0,,0,0,0,0,0,,8.55698612499964
Batch,5,0,559,450,0,0,0,0,0,,0,0,0,0,0,,7.77925683400008
