scenario,strategy,input_hash,decision_before,decision_after,same_decision,difference_reason
A_balanced_resources,Random,9f74c9eb84632c4e,,,,
A_balanced_resources,RoundRobin,9f74c9eb84632c4e,,,,
A_balanced_resources,ShortestQueue,9f74c9eb84632c4e,,,,
A_balanced_resources,ParkSong,9f74c9eb84632c4e,,,,
A_balanced_resources,BatchAllocation,9f74c9eb84632c4e,,,,
B_unequal_load,Random,94b77cdbdfa6d4f7,,,,
B_unequal_load,RoundRobin,94b77cdbdfa6d4f7,,,,
B_unequal_load,ShortestQueue,94b77cdbdfa6d4f7,,,,
B_unequal_load,ParkSong,94b77cdbdfa6d4f7,,,,
B_unequal_load,BatchAllocation,94b77cdbdfa6d4f7,,,,
C_temporary_unavailability,Random,fcb13e981a0a2394,,,,
C_temporary_unavailability,RoundRobin,fcb13e981a0a2394,,,,
C_temporary_unavailability,ShortestQueue,fcb13e981a0a2394,,,,
C_temporary_unavailability,ParkSong,fcb13e981a0a2394,,,,
C_temporary_unavailability,BatchAllocation,fcb13e981a0a2394,,,,
D_permission_constraints,Random,9512f238b77ad06f,,,,
D_permission_constraints,RoundRobin,9512f238b77ad06f,,,,
D_permission_constraints,ShortestQueue,9512f238b77ad06f,,,,
D_permission_constraints,ParkSong,9512f238b77ad06f,,,,
D_permission_constraints,BatchAllocation,9512f238b77ad06f,,,,
E_future_task_prediction,Random,7e7d858c18d56706,,,,
E_future_task_prediction,RoundRobin,7e7d858c18d56706,,,,
E_future_task_prediction,ShortestQueue,7e7d858c18d56706,,,,
E_future_task_prediction,ParkSong,7e7d858c18d56706,,,,
E_future_task_prediction,BatchAllocation,7e7d858c18d56706,,,,
F_wrong_prediction,Random,5675adcacea75922,,,,
F_wrong_prediction,RoundRobin,5675adcacea75922,,,,
F_wrong_prediction,ShortestQueue,5675adcacea75922,,,,
F_wrong_prediction,ParkSong,5675adcacea75922,,,,
F_wrong_prediction,BatchAllocation,5675adcacea75922,,,,
G_multiple_future_tasks,Random,05258e78ac898cf7,,,,
G_multiple_future_tasks,RoundRobin,05258e78ac898cf7,,,,
G_multiple_future_tasks,ShortestQueue,05258e78ac898cf7,,,,
G_multiple_future_tasks,ParkSong,05258e78ac898cf7,,,,
G_multiple_future_tasks,BatchAllocation,05258e78ac898cf7,,,,
H_resource_pressure,Random,67bcdd54f6b5f439,,,,
H_resource_pressure,RoundRobin,67bcdd54f6b5f439,,,,
H_resource_pressure,ShortestQueue,67bcdd54f6b5f439,,,,
H_resource_pressure,ParkSong,67bcdd54f6b5f439,,,,
H_resource_pressure,BatchAllocation,67bcdd54f6b5f439,,,,
I_zero_processing_duration_infrastructure,Random,30e3ce5099002aca,,,,
I_zero_processing_duration_infrastructure,RoundRobin,30e3ce5099002aca,,,,
I_zero_processing_duration_infrastructure,ShortestQueue,30e3ce5099002aca,,,,
I_zero_processing_duration_infrastructure,ParkSong,30e3ce5099002aca,,,,
I_zero_processing_duration_infrastructure,BatchAllocation,30e3ce5099002aca,,,,
