strategy,strategy_class,tasks,resources,decision_count,allocation_decision_time_seconds,task_conversion_time_seconds,resource_conversion_time_seconds,prediction_time_seconds,reservation_handling_time_seconds,cache_hit_rate,memory_behavior
Random,RandomResourceAllocation,1,1,1,2.2920003175386228e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
RoundRobin,RoundRobinResourceAllocation,1,1,1,2.5839999580057338e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
ShortestQueue,ShortestQueueAllocation,1,1,1,3.7910003811703064e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
ParkSong,ParkSongAllocation,1,1,1,1.1875000382133294e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
BatchAllocation,BatchAllocationAdapter,1,1,1,8.041999535635114e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
Random,RandomResourceAllocation,1,10,10,4.999999873689376e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
RoundRobin,RoundRobinResourceAllocation,1,10,10,6.666999979643151e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
ShortestQueue,ShortestQueueAllocation,1,10,10,9.374999535793904e-06,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
ParkSong,ParkSongAllocation,1,10,10,3.445800030021928e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
BatchAllocation,BatchAllocationAdapter,1,10,10,1.287500072066905e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
Random,RandomResourceAllocation,1,100,100,3.125000057480065e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
RoundRobin,RoundRobinResourceAllocation,1,100,100,4.558399996312801e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
ShortestQueue,ShortestQueueAllocation,1,100,100,5.1125000027241185e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
ParkSong,ParkSongAllocation,1,100,100,0.0002512499995646067,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
BatchAllocation,BatchAllocationAdapter,1,100,100,6.25829998170957e-05,not_applicable_snapshot,not_applicable_snapshot,not_applicable_snapshot,integration_owned,not_applicable_snapshot,bounded by input snapshot plus decision list
