case_id,arrival_time,route_length
Application_962958398,2016-09-16T15:07:41.531000+00:00,15
Application_1378544711,2016-09-16T15:26:18.525000+00:00,10
Application_2095055090,2016-09-16T15:32:00.886000+00:00,24
Application_2010386944,2016-09-16T15:35:36.019000+00:00,11
Application_1398759050,2016-09-16T15:40:27.577000+00:00,12
Application_2059148687,2016-09-16T15:41:42.365000+00:00,18
Application_118946914,2016-09-16T15:46:41.772000+00:00,14
Application_1490960027,2016-09-16T15:51:03.350000+00:00,10
Application_2099361259,2016-09-16T16:17:15.539000+00:00,14
Application_1437765669,2016-09-16T16:20:43.573000+00:00,18
Application_1834532024,2016-09-16T16:30:17.721000+00:00,17
Application_383569754,2016-09-16T16:32:58.728000+00:00,12
Application_1527082105,2016-09-16T16:52:13.573000+00:00,16
Application_476337213,2016-09-16T17:09:03.621000+00:00,12
Application_749258507,2016-09-16T17:09:18.614000+00:00,15
Application_2056604415,2016-09-16T17:28:22.845000+00:00,11
Application_656195315,2016-09-16T17:59:40.556000+00:00,11
Application_520418807,2016-09-16T18:12:12.746000+00:00,14
Application_183825585,2016-09-16T18:13:00.129000+00:00,14
Application_1072740747,2016-09-16T18:16:10.341000+00:00,15
Application_1729290911,2016-09-16T18:18:34.976000+00:00,12
Application_1918980127,2016-09-16T18:19:00.396000+00:00,31
Application_2198237,2016-09-16T18:21:33.688000+00:00,28
Application_809356969,2016-09-16T18:44:41.922000+00:00,12
Application_1006996577,2016-09-16T19:20:20.005000+00:00,11
Application_777412650,2016-09-16T19:41:59.629000+00:00,11
Application_1804461781,2016-09-16T20:34:10.807000+00:00,25
Application_2019753121,2016-09-16T20:34:39.373000+00:00,25
Application_1841580589,2016-09-16T20:41:08.773000+00:00,16
Application_1469635127,2016-09-16T21:05:09.879000+00:00,13
Application_1692817590,2016-09-16T21:13:36.610000+00:00,12
Application_770111401,2016-09-16T21:22:18.691000+00:00,11
Application_1340703774,2016-09-16T23:37:48.572000+00:00,10
Application_1522107668,2016-09-17T00:01:51.532000+00:00,17
Application_543554091,2016-09-17T03:26:38.904000+00:00,14
Application_973187266,2016-09-17T05:08:51.129000+00:00,10
Application_591063206,2016-09-17T07:39:36.812000+00:00,11
Application_237210806,2016-09-17T08:02:55.063000+00:00,11
Application_1058918555,2016-09-17T08:12:26.454000+00:00,12
Application_1762326619,2016-09-17T08:17:56.536000+00:00,14
Application_419564166,2016-09-17T08:21:53.496000+00:00,22
Application_204668561,2016-09-17T08:30:09.797000+00:00,10
Application_781937215,2016-09-17T08:38:18.029000+00:00,19
Application_385581020,2016-09-17T08:50:57.621000+00:00,10
Application_60899254,2016-09-17T09:14:54.243000+00:00,15
Application_1636309897,2016-09-17T09:15:05.302000+00:00,25
Application_1310033199,2016-09-17T09:24:03.737000+00:00,11
Application_1135575063,2016-09-17T09:35:40.828000+00:00,14
Application_864229685,2016-09-17T09:57:42.703000+00:00,12
Application_779428150,2016-09-17T10:11:09.482000+00:00,10
Application_252844139,2016-09-17T10:26:29.946000+00:00,16
Application_1644341840,2016-09-17T10:47:03.679000+00:00,11
Application_1359780350,2016-09-17T10:49:23.576000+00:00,16
Application_219440919,2016-09-17T11:46:35.368000+00:00,12
Application_973468393,2016-09-17T12:01:38.911000+00:00,12
Application_216896195,2016-09-17T12:16:58.425000+00:00,12
Application_834364871,2016-09-17T12:24:24.848000+00:00,12
Application_218073218,2016-09-17T12:24:59.341000+00:00,12
Application_646705408,2016-09-17T12:34:00.444000+00:00,14
Application_299035755,2016-09-17T12:37:06.637000+00:00,14
Application_1483136797,2016-09-17T12:48:09.434000+00:00,16
Application_1373175446,2016-09-17T12:52:38.607000+00:00,10
Application_213736891,2016-09-17T13:01:11.108000+00:00,18
Application_942520788,2016-09-17T13:07:15.377000+00:00,11
Application_2016299275,2016-09-17T13:20:27.207000+00:00,21
Application_1367409326,2016-09-17T13:25:05.849000+00:00,15
Application_1863577085,2016-09-17T13:35:53.565000+00:00,19
Application_1940621799,2016-09-17T13:40:22.941000+00:00,12
Application_1144464483,2016-09-17T13:41:03.105000+00:00,13
Application_761430948,2016-09-17T13:42:10.288000+00:00,18
Application_1142835445,2016-09-17T13:55:09.584000+00:00,10
Application_1486566642,2016-09-17T14:07:57.291000+00:00,10
Application_1777426659,2016-09-17T14:18:08.235000+00:00,10
Application_1142473237,2016-09-17T14:23:27.379000+00:00,14
Application_1349621569,2016-09-17T14:24:06.601000+00:00,10
Application_1004581995,2016-09-17T15:04:19.304000+00:00,10
