strategy,average_cycle_time,average_waiting_time,average_resource_occupation,resource_fairness,weighted_resource_fairness,scenario
Random,7.5,2.5,0.3,0.0,0.0,balanced_tasks
ShortestQueue,7.5,2.5,0.3,0.0,0.0,balanced_tasks
ParkSong,7.5,2.5,0.3,0.0,0.0,balanced_tasks
ParkSongML,7.5,2.5,0.3,0.0,0.0,balanced_tasks
Random,8.0,2.0,0.3,0.0,0.0,scarce_resources
ShortestQueue,8.0,2.0,0.3,0.0,0.0,scarce_resources
ParkSong,8.0,2.0,0.3,0.0,0.0,scarce_resources
ParkSongML,8.0,2.0,0.3,0.0,0.0,scarce_resources
Random,7.0,2.0,0.3,0.0,0.0,unavailable_resource
ShortestQueue,7.0,2.0,0.3,0.0,0.0,unavailable_resource
ParkSong,7.0,2.0,0.3,0.0,0.0,unavailable_resource
ParkSongML,7.0,2.0,0.3,0.0,0.0,unavailable_resource
Random,9.5,2.5,0.3,0.0,0.0,priority_old_task
ShortestQueue,9.5,2.5,0.3,0.0,0.0,priority_old_task
ParkSong,9.5,2.5,0.3,0.0,0.0,priority_old_task
ParkSongML,9.5,2.5,0.3,0.0,0.0,priority_old_task
Random,,,0.0,0.0,0.0,future_task_only
ShortestQueue,,,0.0,0.0,0.0,future_task_only
ParkSong,,,0.0,0.0,0.0,future_task_only
ParkSongML,,,0.0,0.0,0.0,future_task_only
