immediate_allocation_calls,global_strategy_calls,waiting_tasks_seen,waiting_queue_size_sum,waiting_queue_size_samples,max_queue_size,active_prediction_count_sum,active_reservation_count_sum,allocation_call_samples,resource_build_calls,permission_cache_misses,resource_objects_created,_build_resources_calls,_build_resources_time_seconds,task_cache_misses,task_cache_created,task_cache_max_size,_build_tasks_calls,_build_tasks_time_seconds,tasks_converted_sum,resources_converted_sum,allocation_strategy_calls,allocation_strategy_time_seconds,strategy_assignments,resources_allocated,_allocate_enabled_events_calls,_allocate_enabled_events_time_seconds,visible_activity_processing_starts,processing_time_resampling_attempts,processing_time_global_fallback_hits,processing_time_source_activity_A_Create_Application_global_fallback,final_positive_duration_count,task_cache_removed,permission_cache_hits,bpmn_transition_identity_fires,exact_transition_fires,resources_released,bpmn_transition_candidate_sets,bpmn_transition_candidates_total,branch_predictions,branch_prediction_calls,branch_prediction_time_seconds,processing_time_source_activity_A_Submitted_global_fallback,unique_predictions_executed,branch_predictions_executed,prediction_execution_matches,processing_time_source_activity_A_Concept_global_fallback,processing_time_source_activity_A_Accepted_global_fallback,processing_time_source_activity_O_Create_Offer_global_fallback,processing_time_source_activity_O_Created_global_fallback,processing_time_source_activity_O_Sent__mail_and_online_global_fallback,processing_time_source_activity_A_Complete_global_fallback,processing_time_source_activity_A_Cancelled_global_fallback,processing_time_source_activity_O_Cancelled_global_fallback,cases_completed_final_marking,reservations_active_after_cleanup,cases_censored,branch_prediction_source_CompositeBranchingEngine,branch_prediction_source_BPMNDeterministic,diagnostic_cycle_guard_enabled,cycle_repetition_limit,cycle_repetition_limit_hits,cycle_candidate_filtered,cycle_guard_filter_events,empirical_successor_candidates_filtered,empirical_successor_filter_events,fixed_route_cases_admitted,fixed_route_cases_completed,fixed_route_bpmn_fire_failures,fixed_route_prediction_global_candidate_fallbacks,fixed_route_no_route_available,fixed_route_arrivals_skipped_after_routes_exhausted,waiting_retry_events_scheduled,waiting_retry_events_processed,waiting_retry_duplicate_suppressed,waiting_retry_no_future_availability,waiting_retry_after_resource_release,waiting_retry_after_reservation_change,event_queue_empty_with_waiting_tasks,feasible_waiting_tasks_at_drain_end,infeasible_waiting_tasks_at_drain_end,prediction_execution_mismatches,park_song_predictions_consumed,duplicate_assignment_errors,reservation_decisions,reservations_created,reservations_used,reservations_expired,reservations_cancelled,reservations_overwritten,reservations_rejected_existing_kept,reservations_unresolved_at_horizon,park_song_prediction_reuse_count,stale_predictions,unresolved_reservations,unresolved_predictions,unequal_resource_load_comparisons,equal_resource_load_ties,resource_load_unequal_decisions,resource_load_tie_break_decisions,resource_load_assignment_decisions,task_cache_hits,processing_time_model_hits,processing_time_activity_fallback_hits,processing_time_empirical_activity_fallback_hits,processing_time_category_fallback_hits,processing_time_emergency_guard_hits,processing_time_missing_model_count,processing_time_invalid_value_count,processing_time_cached_duration_uses,processing_model_loaded,processing_model_retrained,processing_model_load_error,processing_model_artifact_path,minimum_visible_duration_applications,zero_duration_silent_transitions,final_zero_visible_duration_count,minimum_visible_duration_application_rate,processing_time_data_backed_coverage_rate,processing_time_exact_model_coverage_rate,processing_time_any_non_emergency_coverage_rate,final_processing_duration_min,final_processing_duration_median,final_processing_duration_mean,final_processing_duration_max,waiting_queue_size_mean,tasks_converted_per_call_mean,resources_converted_per_call_mean,active_prediction_count_mean,reservation_count_mean,strategy,seed,events_processed,drain_until,diagnostic_cycle_guard,engine_initialization_seconds,simulation_runtime_seconds,processing_time_source_activity_W_Handle_leads_exact_model,suspended_events,processing_time_source_activity_W_Handle_leads_learned_activity_fallback,last_resource_load_candidate_count,last_min_candidate_resource_load,last_selected_resource_load,global_assignment_calls,global_assignment_resources_total,global_assignment_candidates_total,global_assignment_feasible_pairs_total,reservation_margin_filtered,kunkler_calls,kunkler_scoring_decisions,kunkler_candidate_resources_total,kunkler_candidate_tasks_total,kunkler_assignments,kunkler_idle_decisions,kunkler_invalid_decisions_filtered,kunkler_fallback_count,kunkler_sequential_repair_decisions,kunkler_tie_count,kunkler_selected_score_sum,kunkler_selected_score_min,kunkler_selected_score_max,kunkler_selected_score_count,kunkler_selected_score_mean,batch_calls,batches_executed,batch_assignments,batch_unassigned_tasks,batch_size_sum,batch_size_max,batch_average_size
262,262,262,262,262,1,233,0,262,262,10,10714,262,0.0067382569905021,262,262,1,262,0.000644880998152,262,10714,262,0.0071352459981426,262,262,262,0.016358418013624,262,262,262,29,262,262,252,262,262,262,262,437,233,233,0.944972333001715,1.0,233,233,233,29,29,29,29,29,29,29,29,29,0,0,117,116,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,3.085,604.961,821.147038167939,5077.037,1.0,1.0,40.89312977099237,0.8893129770992366,0.0,RoundRobin,1,524,2016-09-17T02:07:00+00:00,0,20.999723708999227,0.9931137080002372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,336,336,336,336,1,297,0,336,336,11,11415,336,0.0124736749839939,333,333,2,336,0.0012758589600707,336,11415,336,0.0099064159967383,332,332,336,0.0265563000120891,332,332,331,37,332,332,335,332,332,332,332,553,296,296,1.4599839629991038,1.0,295,295,295,37,37,37,37,37,36,36,36,36,0,1,148,148,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.003012048192771,0.003012048192771,1.0,2.933,655.7525,863.4585602409638,5431.459,1.0,1.0,33.973214285714285,0.8839285714285714,0.0,RoundRobin,2,665,2016-09-17T02:07:00+00:00,0,20.364514332999537,1.5544565000000148,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,272,272,272,272,1,242,0,272,272,11,10035,272,0.0119744519706728,272,272,1,272,0.001263204974748,272,10035,272,0.0091822910071641,272,272,272,0.0252053669810266,272,272,271,30,272,272,261,272,272,272,272,453,242,242,1.2870455119900726,1.0,242,242,242,30,30,30,30,30,30,30,30,30,0,0,121,121,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0036764705882352,0.0,1.0,2.842,654.809,810.5526544117647,3079.611,1.0,1.0,36.893382352941174,0.8897058823529411,0.0,RoundRobin,3,544,2016-09-17T02:07:00+00:00,0,20.806047833000775,1.3683552500006044,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,262,262,262,262,1,233,0,262,262,10,10796,262,0.0075017559902335,262,262,1,262,0.000713909003025,262,10796,262,0.0094827560133126,262,262,262,0.0196822179877926,262,262,262,29,262,262,252,262,262,262,262,437,233,233,0.9927010419924044,1.0,233,233,233,29,29,29,29,29,29,29,29,29,0,0,117,116,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,22,240,21,262,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,3.085,604.961,821.147038167939,5077.037,1.0,1.0,41.20610687022901,0.8893129770992366,0.0,ShortestQueue,1,524,2016-09-17T02:07:00+00:00,0,21.116570959000455,1.0467987909996737,,,,30.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,339,339,339,339,1,299,0,339,339,11,11779,339,0.0096437589854758,334,334,2,339,0.000973704010903,339,11779,339,0.0116981220144225,333,333,339,0.0248938339882442,333,333,332,37,333,333,343,333,333,333,333,555,297,297,1.3627418800060696,2.0,296,296,296,37,37,37,37,37,36,36,36,36,0,1,149,148,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,287,46,287,40,333,5,1,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.003003003003003,0.003003003003003,1.0,2.933,646.558,859.2011321321321,5431.459,1.0,1.0,34.74631268436578,0.8820058997050148,0.0,ShortestQueue,2,667,2016-09-17T02:07:00+00:00,0,21.632304667000422,1.4497122909997415,1.0,1.0,,1.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,273,273,273,1,243,0,273,273,11,10094,273,0.0101473020076809,273,273,1,273,0.0010538789938436,273,10094,273,0.0104987020113185,273,273,273,0.0241661639920494,273,273,272,30,273,273,262,273,273,273,273,455,243,243,1.178689549004048,2.0,243,243,243,30,30,30,30,30,30,30,30,30,0,0,122,121,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,29,244,27,273,0,0,1,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0036630036630036,0.0,1.0,2.842,652.518,808.2413003663004,3079.611,1.0,1.0,36.97435897435897,0.8901098901098901,0.0,ShortestQueue,3,546,2016-09-17T02:07:00+00:00,0,20.563655875001132,1.2506777090002288,,,1.0,28.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,261,261,261,261,1,232,0,261,261,9,10967,261,0.0067197529933764,261,261,1,261,0.0006583260146726,261,10967,261,0.028847128014604,261,261,261,0.0384004139850731,261,261,261,29,261,261,252,261,261,261,261,435,232,232,0.9942496210114768,,232,232,232,29,29,29,29,29,29,29,29,29,0,0,116,116,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,3.085,608.219,822.8564865900383,5077.037,1.0,1.0,42.01915708812261,0.8888888888888888,0.0,ParkSong-Composite,1,522,2016-09-17T02:07:00+00:00,0,20.46041412500017,1.0655136250006765,,,,,,,261.0,10967.0,435.0,10967.0,6890.0,,,,,,,,,,,,,,,,,,,,,,
330,332,332,332,332,1,294,0,332,332,9,11909,332,0.0099905870010843,330,330,1,332,0.0010222489800071,332,11909,332,0.0360843330199713,330,330,332,0.0502636739784065,330,330,330,37,330,329,331,330,330,330,330,550,294,294,1.402759007001805,,293,293,293,37,37,37,37,37,36,36,36,36,0,1,147,147,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,294,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,2.933,642.8975,846.703106060606,5431.459,1.0,1.0,35.87048192771084,0.8855421686746988,0.0,ParkSong-Composite,2,661,2016-09-17T02:07:00+00:00,0,21.279855374999897,1.51343312499921,,1.0,,,,,330.0,11909.0,550.0,11909.0,7383.0,,,,,,,,,,,,,,,,,,,,,,
270,270,270,270,270,1,240,0,270,270,9,10147,270,0.0113507350033614,270,270,1,270,0.0011520570133143,270,10147,270,0.0322959050008648,270,270,270,0.0478769980200013,270,270,270,30,270,270,261,270,270,270,270,450,240,240,1.2201975809948635,,240,240,240,30,30,30,30,30,30,30,30,30,0,0,120,120,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,2.842,652.1415,805.4327222222222,3079.611,1.0,1.0,37.58148148148148,0.8888888888888888,0.0,ParkSong-Composite,3,540,2016-09-17T02:07:00+00:00,0,21.538501582999743,1.3201710419998562,,,,,,,270.0,10147.0,450.0,10147.0,6428.0,,,,,,,,,,,,,,,,,,,,,,
263,263,263,263,263,1,234,0,263,263,10,10942,263,0.0099817069931305,263,263,1,263,0.0009545419961796,263,10942,263,0.0142203379909915,263,263,263,0.0274802009971608,263,263,263,29,263,263,253,263,263,263,263,439,234,234,1.1210556589921907,2.0,234,234,234,29,29,29,29,29,29,29,29,29,0,0,118,116,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,joao/models/process_time/final_process_time_coverage_v2.pkl,0,0,0,0.0,0.0,0.0,1.0,3.085,606.228,814.4631939163498,5289.029,1.0,1.0,41.60456273764259,0.8897338403041825,0.0,Kunkler-Rinderle-Ma,1,526,2016-09-17T02:07:00+00:00,0,21.589615333001348,1.1907380419997935,,,,,,,,,,,,263.0,263.0,10942.0,263.0,263.0,10679.0,0.0,0.0,0.0,0.0,229346.06000000003,3.479,5261.242,263.0,872.0382509505705,,,,,,,
