strategy,seed,predictions_consumed,prediction_execution_matches,prediction_execution_mismatches,reservations_created,reservations_used,reservations_expired,reservations_cancelled,unresolved_reservations,reservation_utilization_rate,reservations_rejected_by_probability_threshold,reservations_filtered_by_reservation_margin,reservations_rejected_by_no_show_penalty,global_assignment_calls,feasible_candidate_pairs,average_candidate_count,simulation_runtime_seconds
RoundRobin,1,0,233,0,0,0,0,0,0,,0,0,0,0,0,,0.9931137080002372
RoundRobin,2,0,295,0,0,0,0,0,0,,0,0,0,0,0,,1.5544565000000148
RoundRobin,3,0,242,0,0,0,0,0,0,,0,0,0,0,0,,1.3683552500006044
ShortestQueue,1,0,233,0,0,0,0,0,0,,0,0,0,0,0,,1.0467987909996737
ShortestQueue,2,0,296,0,0,0,0,0,0,,0,0,0,0,0,,1.4497122909997415
ShortestQueue,3,0,243,0,0,0,0,0,0,,0,0,0,0,0,,1.2506777090002288
ParkSong-Composite,1,232,232,0,0,0,0,0,0,,0,6890,0,261,10967,1.6666666666666667,1.0655136250006765
ParkSong-Composite,2,294,293,0,1,1,0,0,0,1.0,0,7383,0,330,11909,1.6666666666666667,1.51343312499921
ParkSong-Composite,3,240,240,0,0,0,0,0,0,,0,6428,0,270,10147,1.6666666666666667,1.3201710419998562
Kunkler-Rinderle-Ma,1,0,234,0,0,0,0,0,0,,0,0,0,0,0,,1.1907380419997935
Kunkler-Rinderle-Ma,2,0,303,0,0,0,0,0,0,,0,0,0,0,0,,1.5336384589991212
Kunkler-Rinderle-Ma,3,0,246,0,0,0,0,0,0,,0,0,0,0,0,,1.447894875000202
Batch,1,0,235,0,0,0,0,0,0,,0,0,0,0,0,,1.5909213750001072
Batch,2,0,300,0,0,0,0,0,0,,0,0,0,0,0,,1.5187208339993958
Batch,3,0,246,0,0,0,0,0,0,,0,0,0,0,0,,1.2433126249998168
