strategy,seed,allocation_epochs,epochs_with_waiting_tasks,epochs_with_zero_eligible_resource,epochs_with_less_eligible_resources_than_waiting_tasks,epochs_with_all_eligible_resources_occupied,epochs_with_resources_unavailable_by_calendar,average_waiting_tasks_per_allocation_epoch,average_eligible_resources_per_waiting_task,fraction_tasks_waited_no_available_eligible_resource,max_waiting_queue_length,mean_waiting_queue_length,fraction_epochs_strategic_idling_feasible
RoundRobin,1,262,262,0,,0,,1.0,40.89312977099237,0.0,1,1.0,0.8893129770992366
RoundRobin,2,336,336,4,,1,,1.0,33.973214285714285,0.011904761904761904,1,1.0,0.8839285714285714
RoundRobin,3,272,272,0,,0,,1.0,36.893382352941174,0.0,1,1.0,0.8897058823529411
ShortestQueue,1,262,262,0,,0,,1.0,41.20610687022901,0.0,1,1.0,0.8893129770992366
ShortestQueue,2,339,339,6,,1,,1.0,34.74631268436578,0.017699115044247787,1,1.0,0.8820058997050148
ShortestQueue,3,273,273,0,,0,,1.0,36.97435897435897,0.0,1,1.0,0.8901098901098901
ParkSong-Composite,1,261,261,0,,0,,1.0,42.019157088122604,0.0,1,1.0,0.8888888888888888
ParkSong-Composite,2,332,332,3,,1,,1.0,35.87048192771084,0.009036144578313253,1,1.0,0.8855421686746988
ParkSong-Composite,3,270,270,0,,0,,1.0,37.58148148148148,0.0,1,1.0,0.8888888888888888
Kunkler-Rinderle-Ma,1,263,263,0,,0,,1.0,41.60456273764259,0.0,1,1.0,0.8897338403041825
Kunkler-Rinderle-Ma,2,341,341,1,,0,,1.0,36.03225806451613,0.002932551319648094,1,1.0,0.8885630498533724
Kunkler-Rinderle-Ma,3,276,276,0,,0,,1.0,35.7463768115942,0.0,1,1.0,0.8913043478260869
Batch,1,264,264,0,,0,,1.0,41.41287878787879,0.0,1,1.0,0.8901515151515151
Batch,2,337,337,0,,0,,1.0,35.85163204747774,0.0,1,1.0,0.8902077151335311
Batch,3,276,276,0,,0,,1.0,37.42028985507246,0.0,1,1.0,0.8913043478260869
