strategy,seed,predictions_consumed,prediction_execution_matches,prediction_execution_mismatches,reservations_created,reservations_used,reservations_expired,reservations_cancelled,unresolved_reservations,reservation_utilization_rate,reservations_rejected_by_probability_threshold,reservations_filtered_by_reservation_margin,reservations_rejected_by_no_show_penalty,global_assignment_calls,feasible_candidate_pairs,average_candidate_count,simulation_runtime_seconds
RoundRobin,1,0,234,0,0,0,0,0,0,,0,0,0,0,0,,0.7097941669999273
RoundRobin,2,0,295,0,0,0,0,0,0,,0,0,0,0,0,,0.9062352909995752
RoundRobin,3,0,242,0,0,0,0,0,0,,0,0,0,0,0,,0.7250318329997754
ShortestQueue,1,0,229,0,0,0,0,0,0,,0,0,0,0,0,,0.7062292910004544
ShortestQueue,2,0,294,0,0,0,0,0,0,,0,0,0,0,0,,0.912786915999277
ShortestQueue,3,0,244,0,0,0,0,0,0,,0,0,0,0,0,,0.7490456670002459
ParkSong-Composite,1,232,232,0,0,0,0,0,0,,0,6890,0,261,10967,1.6666666666666667,0.7294151249998322
ParkSong-Composite,2,294,293,0,1,1,0,0,0,1.0,0,7383,0,330,11909,1.6666666666666667,0.9222421250005935
ParkSong-Composite,3,240,240,0,0,0,0,0,0,,0,6428,0,270,10147,1.6666666666666667,0.7544076670001232
Kunkler-Rinderle-Ma,1,0,240,0,0,0,0,0,0,,0,0,0,0,0,,0.7432143340001858
Kunkler-Rinderle-Ma,2,0,302,0,0,0,0,0,0,,0,0,0,0,0,,0.956117875000018
Kunkler-Rinderle-Ma,3,0,246,0,0,0,0,0,0,,0,0,0,0,0,,0.7479572080001162
Batch,1,0,238,0,0,0,0,0,0,,0,0,0,0,0,,0.7194217080004819
Batch,2,0,300,0,0,0,0,0,0,,0,0,0,0,0,,0.90685512500022
Batch,3,0,243,0,0,0,0,0,0,,0,0,0,0,0,,0.7306611249996422
