strategy,seed,allocation_epochs,epochs_with_waiting_tasks,epochs_with_zero_eligible_resource,epochs_with_less_eligible_resources_than_waiting_tasks,epochs_with_all_eligible_resources_occupied,epochs_with_resources_unavailable_by_calendar,average_waiting_tasks_per_allocation_epoch,average_eligible_resources_per_waiting_task,fraction_tasks_waited_no_available_eligible_resource,max_waiting_queue_length,mean_waiting_queue_length,fraction_epochs_strategic_idling_feasible
RoundRobin,1,263,263,0,,0,,1.0,41.22053231939164,0.0,1,1.0,0.8897338403041825
RoundRobin,2,336,336,4,,1,,1.0,33.973214285714285,0.011904761904761904,1,1.0,0.8839285714285714
RoundRobin,3,272,272,0,,0,,1.0,36.893382352941174,0.0,1,1.0,0.8897058823529411
ShortestQueue,1,259,259,1,,1,,1.0,42.11969111969112,0.003861003861003861,1,1.0,0.888030888030888
ShortestQueue,2,336,336,5,,1,,1.005952380952381,34.84615384615385,0.014792899408284023,2,1.005952380952381,0.8869047619047619
ShortestQueue,3,274,274,0,,0,,1.0,36.74087591240876,0.0,1,1.0,0.8905109489051095
ParkSong-Composite,1,261,261,0,,0,,1.0,42.019157088122604,0.0,1,1.0,0.8888888888888888
ParkSong-Composite,2,332,332,3,,1,,1.0,35.87048192771084,0.009036144578313253,1,1.0,0.8855421686746988
ParkSong-Composite,3,270,270,0,,0,,1.0,37.58148148148148,0.0,1,1.0,0.8888888888888888
Kunkler-Rinderle-Ma,1,273,273,5,,0,,1.0036630036630036,39.518248175182485,0.01824817518248175,2,1.0036630036630036,0.8864468864468864
Kunkler-Rinderle-Ma,2,340,340,1,,0,,1.0,36.11176470588235,0.0029411764705882353,1,1.0,0.888235294117647
Kunkler-Rinderle-Ma,3,276,276,0,,0,,1.0,35.7463768115942,0.0,1,1.0,0.8913043478260869
Batch,1,268,268,1,,0,,1.0,42.40298507462686,0.0037313432835820895,1,1.0,0.8880597014925373
Batch,2,337,337,0,,0,,1.0,35.85163204747774,0.0,1,1.0,0.8902077151335311
Batch,3,273,273,0,,0,,1.0,37.3992673992674,0.0,1,1.0,0.8901098901098901
