Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:03:47.766487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,7,start,2016-01-04 09:03:58.213682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,9,complete,2016-01-04 09:05:38.934682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,A_Concept,Application,10,start,2016-01-04 09:05:38.934682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:08:52.460487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,A_Concept,Application,12,start,2016-01-04 09:08:52.460487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,14,start,2016-01-04 09:09:15.491598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_100,A_Concept,Application,11,complete,2016-01-04 09:11:34.011682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,17,start,2016-01-04 09:11:34.011682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,19,start,2016-01-04 09:13:02.784143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,21,complete,2016-01-04 09:14:19.613143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,A_Concept,Application,22,start,2016-01-04 09:14:19.613143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,24,start,2016-01-04 09:16:39.680973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_10,A_Concept,Application,13,complete,2016-01-04 09:17:18.582487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,A_Accepted,Application,27,start,2016-01-04 09:17:18.582487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,29,start,2016-01-04 09:19:19.154514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,18,complete,2016-01-04 09:20:50.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,W_Complete application,Application,32,start,2016-01-04 09:20:50.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,34,start,2016-01-04 09:20:50.219149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_102,A_Concept,Application,23,complete,2016-01-04 09:21:01.791143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,37,start,2016-01-04 09:21:01.791143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:23:41.598000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,39,start,2016-01-04 09:23:41.598000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,36,complete,2016-01-04 09:26:55.277149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_107,W_Handle leads,Application,41,start,2016-01-04 09:26:55.277149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_109,A_Create Application,Application,43,start,2016-01-04 09:27:14.276662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,40,complete,2016-01-04 09:28:44.354000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_11,A_Accepted,Application,46,start,2016-01-04 09:28:44.354000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_107,W_Handle leads,Application,42,complete,2016-01-04 09:29:16.277149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_1,A_Concept,Application,48,start,2016-01-04 09:29:16.277149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,50,start,2016-01-04 09:29:35.934422,Home improvement,New credit,9,450000.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,26,complete,2016-01-04 09:29:43.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_104,W_Handle leads,Application,53,start,2016-01-04 09:29:43.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_109,A_Create Application,Application,45,complete,2016-01-04 09:29:48.600662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_109,A_Submitted,Application,55,suspend,2016-01-04 09:29:48.600662,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_104,W_Handle leads,Application,54,complete,2016-01-04 09:30:18.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_104,A_Concept,Application,56,start,2016-01-04 09:30:18.076973,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_100,W_Complete application,Application,33,complete,2016-01-04 09:30:43.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,O_Sent (mail and online),Application,58,start,2016-01-04 09:30:43.049682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,16,complete,2016-01-04 09:31:12.729598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_101,A_Submitted,Application,60,suspend,2016-01-04 09:31:12.729598,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,61,start,2016-01-04 09:31:39.373878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_11,A_Accepted,Application,47,complete,2016-01-04 09:32:54.290000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_109,O_Create Offer,Application,64,start,2016-01-04 09:32:54.290000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,38,complete,2016-01-04 09:32:58.998143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,O_Create Offer,Application,66,start,2016-01-04 09:32:58.998143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,31,complete,2016-01-04 09:36:47.306514,Car,New credit,6,450000.0,0 days,,,,,,,,
,User_100,O_Sent (mail and online),Application,59,complete,2016-01-04 09:37:23.029682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_100,A_Complete,Application,69,start,2016-01-04 09:37:23.029682,Unknown,Limit raise,2,0.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,71,start,2016-01-04 09:38:05.382130,Existing loan takeover,New credit,11,0.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,63,complete,2016-01-04 09:38:36.871878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_101,A_Submitted,Application,74,suspend,2016-01-04 09:38:36.871878,Car,New credit,10,0.0,0 days,,,,,,,,
,User_10,A_Accepted,Application,28,complete,2016-01-04 09:39:12.015487,Home improvement,Limit raise,1,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,76,start,2016-01-04 09:43:04.938392,Existing loan takeover,New credit,12,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,80,resume,2016-01-04 09:43:18.637149,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,49,complete,2016-01-04 09:43:18.637149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_101,A_Accepted,Application,79,start,2016-01-04 09:43:18.637149,Home improvement,New credit,7,450000.0,0 days,,,,,,,,
,User_102,O_Create Offer,Application,67,complete,2016-01-04 09:43:37.213143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,O_Created,Application,83,start,2016-01-04 09:43:37.213143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_11,A_Create Application,Application,85,start,2016-01-04 09:44:02.423798,Home improvement,New credit,13,450000.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,73,complete,2016-01-04 09:44:27.335130,Existing loan takeover,New credit,11,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,90,resume,2016-01-04 09:44:56.598149,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,81,complete,2016-01-04 09:44:56.598149,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_106,W_Handle leads,Application,89,start,2016-01-04 09:44:56.598149,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_102,O_Created,Application,84,complete,2016-01-04 09:45:10.960143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_102,O_Sent (mail and online),Application,93,start,2016-01-04 09:45:10.960143,Home improvement,New credit,4,450000.0,0 days,,,,,,,,
,User_109,O_Create Offer,Application,65,complete,2016-01-04 09:45:20.915000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_109,O_Created,Application,95,start,2016-01-04 09:45:20.915000,Unknown,New credit,0,0.0,0 days,,,,,,,,
,User_106,W_Handle leads,Application,92,complete,2016-01-04 09:46:54.598149,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_106,A_Concept,Application,97,start,2016-01-04 09:46:54.598149,Home improvement,New credit,8,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,100,resume,2016-01-04 09:48:41.020149,Car,New credit,10,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,91,complete,2016-01-04 09:48:41.020149,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,99,start,2016-01-04 09:48:41.020149,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,103,start,2016-01-04 09:48:49.046485,Unknown,New credit,14,0.0,0 days,,,,,,,,
,User_115,A_Create Application,Application,106,start,2016-01-04 09:50:10.132059,Unknown,New credit,15,0.0,0 days,,,,,,,,
,User_112,W_Handle leads,Application,102,complete,2016-01-04 09:50:34.020149,"Other, see explanation",New credit,3,450000.0,0 days,,,,,,,,
