strategy,seed,exact_transition_fires,legacy_label_fires,ambiguous_legacy_label_rejections,branch_predictions,branch_transition_ambiguities,branch_invalid_predictions_rejected,resources_allocated,resources_released,resource_overlap_violations,permission_violations,invalid_transition_fires,reservation_decisions,reservations_created,reservations_used,diagnostic_cycle_guard_enabled
round_robin,1,484,0,0,455,0,0,485,484,0,0,0,0,0,0,0
shortest_queue,1,489,0,0,459,0,0,490,489,0,0,0,0,0,0,0
parksong_composite,1,451,0,0,424,0,0,451,451,0,0,0,364,364,175,0
kunkler,1,472,0,0,448,0,0,472,472,0,0,0,0,0,0,0
batch,1,457,0,0,435,0,0,458,457,0,0,0,0,0,0,0
round_robin,2,674,0,0,641,0,0,679,674,0,0,0,0,0,0,0
shortest_queue,2,571,0,0,539,0,0,572,571,0,0,0,0,0,0,0
parksong_composite,2,658,0,0,632,0,0,662,658,0,0,0,190,190,73,0
kunkler,2,571,0,0,542,0,0,574,571,0,0,0,0,0,0,0
batch,2,542,0,0,506,0,0,543,542,0,0,0,0,0,0,0
round_robin,3,436,0,0,411,0,0,437,436,0,0,0,0,0,0,0
shortest_queue,3,486,0,0,459,0,0,486,486,0,0,0,0,0,0,0
parksong_composite,3,451,0,0,428,0,0,455,451,0,0,0,460,460,235,0
kunkler,3,442,0,0,414,0,0,442,442,0,0,0,0,0,0,0
batch,3,472,0,0,444,0,0,473,472,0,0,0,0,0,0,0
