cases_admitted,cases_observed,fixed_routes_completed,cases_completed,cases_incomplete,cases_deadlocked,cases_cyclic,cases_censored,fixed_route_completion_rate,completion_rate,active_cases_remaining,waiting_queue_remaining,strategy,seed
76,76,76,76,0,0,0,0,1.0,1.0,0,0,RoundRobin,1
76,76,76,76,0,0,0,0,1.0,1.0,0,0,RoundRobin,2
76,76,76,76,0,0,0,0,1.0,1.0,0,0,RoundRobin,3
76,76,76,76,0,0,0,0,1.0,1.0,0,0,RoundRobin,4
76,76,76,76,0,0,0,0,1.0,1.0,0,0,RoundRobin,5
76,76,75,75,1,0,0,1,0.986842105263158,0.986842105263158,0,0,ShortestQueue,1
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ShortestQueue,2
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ShortestQueue,3
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ShortestQueue,4
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ShortestQueue,5
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ParkSong-Composite,1
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ParkSong-Composite,2
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ParkSong-Composite,3
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ParkSong-Composite,4
76,76,76,76,0,0,0,0,1.0,1.0,0,0,ParkSong-Composite,5
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Kunkler-Rinderle-Ma,1
76,76,75,75,1,0,0,1,0.986842105263158,0.986842105263158,0,0,Kunkler-Rinderle-Ma,2
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Kunkler-Rinderle-Ma,3
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Kunkler-Rinderle-Ma,4
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Kunkler-Rinderle-Ma,5
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Batch,1
76,76,75,75,1,0,0,1,0.986842105263158,0.986842105263158,0,0,Batch,2
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Batch,3
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Batch,4
76,76,76,76,0,0,0,0,1.0,1.0,0,0,Batch,5
