comparison,metric,paired_seed_count,mean_difference,median_difference,std_difference,ci_method,ci_level,difference_ci95_half_width,wins,ties,losses,mean_percent_difference,median_percent_difference
ParkSong-Composite - RoundRobin,cycle_time_mean_s,5,10842.006665842098,30014.26507894737,45933.32881277966,student_t,0.95,57033.76070448415,2,0,3,18.2680004922678,28.24104067717437
ParkSong-Composite - RoundRobin,waiting_time_mean_s,5,2764.6238790820275,2083.3105686635945,2407.985469306058,student_t,0.95,2989.908865435127,0,0,5,160.70195891229005,136.9933847959988
ParkSong-Composite - RoundRobin,horizon_normalized_throughput_cases_per_hour,5,0.0,0.0,0.0,student_t,0.95,0.0,0,5,0,0.0,0.0
ParkSong-Composite - RoundRobin,horizon_normalized_resource_occupation_mean,5,-0.00032562934844913995,5.370402720700001e-05,0.0010707802431625735,student_t,0.95,0.0013295492779228397,2,0,3,-3.8094807355248177,3.1018820318829667
ParkSong-Composite - RoundRobin,resource_fairness_gini,5,-0.004346812533410282,0.025617313012621157,0.11440106733927963,student_t,0.95,0.14204768667126802,1,0,4,2.2206039337678667,5.164528981166333
ParkSong-Composite - RoundRobin,weighted_resource_fairness,5,-0.0008270037837670198,0.00015475720608540064,0.003379184043579003,student_t,0.95,0.004195811170216668,2,0,3,2.9017228150412437,3.8101812124480716
ParkSong-Composite - ShortestQueue,cycle_time_mean_s,5,50845.00404299999,36206.04485542105,46328.97584222875,student_t,0.95,57525.02137694735,0,0,5,79.2163967613569,67.82176449899471
ParkSong-Composite - ShortestQueue,waiting_time_mean_s,5,2724.6027142127245,1898.0545959299811,2500.5649353796875,student_t,0.95,3104.86145543168,0,0,5,158.55587721008163,111.25798438212333
ParkSong-Composite - ShortestQueue,horizon_normalized_throughput_cases_per_hour,5,0.00013661202185792087,0.0,0.0003054737674179982,student_t,0.95,0.0003792957793985983,0,4,1,0.2666666666666616,0.0
ParkSong-Composite - ShortestQueue,horizon_normalized_resource_occupation_mean,5,0.00038052365879302004,0.00030532834093329993,0.00019544209308243932,student_t,0.95,0.00024267341071405383,0,0,5,27.313569038259573,20.63430090776624
ParkSong-Composite - ShortestQueue,resource_fairness_gini,5,0.05459998094315728,0.04562288775846007,0.045176501912648395,student_t,0.95,0.05609403598971901,0,0,5,12.296177258650335,9.301959307279288
ParkSong-Composite - ShortestQueue,weighted_resource_fairness,5,0.0012036136524239602,0.0013342247868446998,0.000431555986264738,student_t,0.95,0.0005358475313542433,0,0,5,37.062366869530806,40.41951723775176
