strategy,seed,predictions_consumed,prediction_execution_matches,prediction_execution_mismatches,reservations_created,reservations_used,reservations_expired,reservations_cancelled,unresolved_reservations,reservation_utilization_rate,reservations_rejected_by_probability_threshold,reservations_filtered_by_reservation_margin,reservations_rejected_by_no_show_penalty,global_assignment_calls,feasible_candidate_pairs,average_candidate_count,simulation_runtime_seconds
RoundRobin,1,0,568,441,0,0,0,0,0,,0,0,0,0,0,,11.563653667000835
RoundRobin,2,0,568,441,0,0,0,0,0,,0,0,0,0,0,,11.909549791000243
RoundRobin,3,0,569,440,0,0,0,0,0,,0,0,0,0,0,,11.455835667000429
RoundRobin,4,0,566,443,0,0,0,0,0,,0,0,0,0,0,,11.586627124999724
RoundRobin,5,0,568,441,0,0,0,0,0,,0,0,0,0,0,,13.950324000001274
ShortestQueue,1,0,566,435,0,0,0,0,0,,0,0,0,0,0,,12.062534374999814
ShortestQueue,2,0,569,440,0,0,0,0,0,,0,0,0,0,0,,11.713654999999562
ShortestQueue,3,0,573,436,0,0,0,0,0,,0,0,0,0,0,,13.450336167001296
ShortestQueue,4,0,562,447,0,0,0,0,0,,0,0,0,0,0,,12.570078458000353
ShortestQueue,5,0,565,444,0,0,0,0,0,,0,0,0,0,0,,15.041383083000255
ParkSong-Composite,1,1009,567,442,235,56,68,111,0,0.23829787234042554,0,29096,0,1110,15982,9.947747747747748,18.192453333998856
ParkSong-Composite,2,1009,564,445,238,71,70,97,0,0.29831932773109243,0,17820,0,1149,16392,9.18798955613577,19.20301366700005
ParkSong-Composite,3,1009,572,437,529,153,87,289,0,0.2892249527410208,0,31421,0,1203,23972,9.901911886949293,11.149101916998916
ParkSong-Composite,4,1009,564,445,308,121,65,122,0,0.39285714285714285,0,9250,0,1154,13279,9.779896013864818,16.506912042001204
ParkSong-Composite,5,1009,565,444,270,73,95,102,0,0.27037037037037037,0,37113,0,1103,17285,12.636446056210335,17.27258887500102
Kunkler-Rinderle-Ma,1,0,565,444,0,0,0,0,0,,0,0,0,0,0,,10.976437249999435
Kunkler-Rinderle-Ma,2,0,572,435,0,0,0,0,0,,0,0,0,0,0,,9.864937541000472
Kunkler-Rinderle-Ma,3,0,573,436,0,0,0,0,0,,0,0,0,0,0,,9.612384042000484
Kunkler-Rinderle-Ma,4,0,567,442,0,0,0,0,0,,0,0,0,0,0,,8.254894124998827
Kunkler-Rinderle-Ma,5,0,567,442,0,0,0,0,0,,0,0,0,0,0,,9.256213959000888
Batch,1,0,570,439,0,0,0,0,0,,0,0,0,0,0,,9.308629500001189
Batch,2,0,572,432,0,0,0,0,0,,0,0,0,0,0,,9.966378291999716
Batch,3,0,570,439,0,0,0,0,0,,0,0,0,0,0,,8.844319915999222
Batch,4,0,562,447,0,0,0,0,0,,0,0,0,0,0,,9.786016791998918
Batch,5,0,569,440,0,0,0,0,0,,0,0,0,0,0,,9.053822707999643
