strategy,seed,allocation_epochs,epochs_with_waiting_tasks,epochs_with_zero_eligible_resource,epochs_with_less_eligible_resources_than_waiting_tasks,epochs_with_all_eligible_resources_occupied,epochs_with_resources_unavailable_by_calendar,average_waiting_tasks_per_allocation_epoch,average_eligible_resources_per_waiting_task,fraction_tasks_waited_no_available_eligible_resource,max_waiting_queue_length,mean_waiting_queue_length,fraction_epochs_strategic_idling_feasible
RoundRobin,1,1548,1548,343,,0,,2.147932816537468,12.852631578947369,0.1031578947368421,28,2.147932816537468,6.327519379844961
RoundRobin,2,1635,1635,400,,0,,2.0391437308868503,13.482003599280144,0.11997600479904019,22,2.0391437308868503,8.760244648318043
RoundRobin,3,1996,1996,802,,0,,2.688376753507014,11.477636973537086,0.1494595601938129,25,2.688376753507014,8.438877755511022
RoundRobin,4,1521,1521,305,,0,,1.7455621301775148,16.769868173258004,0.11487758945386065,24,1.7455621301775148,7.554898093359632
RoundRobin,5,1772,1772,551,,0,,2.5705417607223477,10.514818880351262,0.12096597145993414,27,2.5705417607223477,5.265237020316027
ShortestQueue,1,1593,1593,412,,0,,2.8141870684243564,10.04149007361142,0.09190274369841624,28,2.8141870684243564,4.328311362209667
ShortestQueue,2,1462,1462,239,,0,,1.9076607387140903,14.143420580853352,0.08569379705987809,22,1.9076607387140905,6.680574555403557
ShortestQueue,3,1688,1688,490,,0,,2.441943127962085,11.532751091703057,0.11887433284813198,29,2.441943127962085,6.385663507109005
ShortestQueue,4,1675,1675,474,,0,,2.8734328358208954,10.240390608767921,0.09848327446499065,26,2.8734328358208954,6.237611940298508
ShortestQueue,5,1730,1730,525,,0,,2.346820809248555,12.163054187192119,0.12931034482758622,28,2.346820809248555,4.853179190751445
ParkSong-Composite,1,1874,1874,213,,0,,3.6584845250800426,1.6798424737456243,0.03106767794632439,27,3.658484525080042,6.026680896478122
ParkSong-Composite,2,1789,1789,258,,0,,3.34823923979877,2.2176961602671117,0.04307178631051753,26,3.34823923979877,6.96254891000559
ParkSong-Composite,3,1734,1734,456,,0,,3.5893886966551327,2.9394280205655527,0.07326478149100257,25,3.5893886966551327,7.5011534025374855
ParkSong-Composite,4,1906,1906,408,,0,,3.7014690451206715,1.5135364989369242,0.05783132530120482,27,3.701469045120671,5.707240293809024
ParkSong-Composite,5,1979,1979,280,,0,,4.64477008590197,1.2371627502175806,0.030461270670147953,28,4.64477008590197,7.481051035876705
Kunkler-Rinderle-Ma,1,1925,1925,719,,0,,3.1335064935064936,9.293103448275861,0.11919761273209549,30,3.1335064935064936,7.637402597402597
Kunkler-Rinderle-Ma,2,1976,1976,787,,0,,2.7449392712550607,11.083886430678467,0.14509587020648967,26,2.7449392712550607,6.132085020242915
Kunkler-Rinderle-Ma,3,1750,1750,508,,0,,1.9388571428571428,14.354848216917182,0.14972001178897731,25,1.9388571428571428,7.204
Kunkler-Rinderle-Ma,4,1924,1924,732,,0,,2.2666320166320166,13.266681953680349,0.16785141022701217,25,2.2666320166320166,5.933991683991684
Kunkler-Rinderle-Ma,5,1686,1686,479,,0,,1.756820877817319,17.327481431465227,0.16171505739365294,25,1.756820877817319,8.080664294187425
Batch,1,2023,2023,839,,0,,2.551161641127039,12.323580701414455,0.16256539430342956,28,2.551161641127039,7.287691547207118
Batch,2,1767,1767,575,,0,,2.2127900396151667,13.774168797953964,0.14705882352941177,26,2.2127900396151667,7.976796830786644
Batch,3,1692,1692,510,,0,,1.758274231678487,17.04201680672269,0.17142857142857143,26,1.758274231678487,4.555555555555555
Batch,4,1941,1941,758,,0,,2.921689850592478,9.728795626873568,0.13366249338740963,32,2.921689850592478,7.096857290056672
Batch,5,1820,1820,637,,0,,2.1043956043956045,14.09869451697128,0.16631853785900783,26,2.1043956043956045,5.34065934065934
