strategy,seed,exact_resource_activity_model_calls,activity_level_fallback_calls,category_fallback_calls,global_fallback_calls,emergency_guard_calls,total_processing_time_sampling_calls,exact_resource_activity_model_rate,activity_level_fallback_rate,global_fallback_rate
RoundRobin,1,0,0,0,262,0,262,0.0,0.0,1.0
RoundRobin,2,1,0,0,331,0,332,0.0030120481927710845,0.0,0.9969879518072289
RoundRobin,3,0,1,0,271,0,272,0.0,0.003676470588235294,0.9963235294117647
ShortestQueue,1,0,0,0,262,0,262,0.0,0.0,1.0
ShortestQueue,2,1,0,0,332,0,333,0.003003003003003003,0.0,0.996996996996997
ShortestQueue,3,0,1,0,272,0,273,0.0,0.003663003663003663,0.9963369963369964
ParkSong-Composite,1,0,0,0,261,0,261,0.0,0.0,1.0
ParkSong-Composite,2,0,0,0,330,0,330,0.0,0.0,1.0
ParkSong-Composite,3,0,0,0,270,0,270,0.0,0.0,1.0
Kunkler-Rinderle-Ma,1,0,0,0,263,0,263,0.0,0.0,1.0
Kunkler-Rinderle-Ma,2,3,0,0,337,0,340,0.008823529411764706,0.0,0.9911764705882353
Kunkler-Rinderle-Ma,3,2,1,0,273,0,276,0.007246376811594203,0.0036231884057971015,0.9891304347826086
Batch,1,0,0,0,264,0,264,0.0,0.0,1.0
Batch,2,2,0,0,335,0,337,0.005934718100890208,0.0,0.9940652818991098
Batch,3,3,0,0,273,0,276,0.010869565217391304,0.0,0.9891304347826086
