comparison,metric,paired_seed_count,mean_difference,median_difference,std_difference,ci_method,ci_level,difference_ci95_half_width,wins,ties,losses,mean_percent_difference,median_percent_difference
ParkSong-Composite - RoundRobin,cycle_time_mean_s,3,-102.34364865900443,-100.11623333333318,90.54752675316217,student_t,0.95,224.93252591325208,3,0,0,-1.3486604606354036,-1.3623089823400338
ParkSong-Composite - RoundRobin,waiting_time_mean_s,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,,
ParkSong-Composite - RoundRobin,horizon_normalized_throughput_cases_per_hour,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,0.0,0.0
ParkSong-Composite - RoundRobin,horizon_normalized_resource_occupation_mean,3,0.07626675419379665,0.07418883165893168,0.00990214878152267,student_t,0.95,0.024598301215543048,0,0,3,99.37266056656865,99.94126557633786
ParkSong-Composite - RoundRobin,resource_fairness_gini,3,-0.02014802283615204,-0.023937357323143227,0.015822991332068544,student_t,0.95,0.039306489480690064,3,0,0,-5.437316263801375,-6.453182520740771
ParkSong-Composite - RoundRobin,weighted_resource_fairness,3,0.18688072983813694,0.1949506310501553,0.01829940723641287,student_t,0.95,0.0454582476186501,0,0,3,191.89395318767347,182.11545248653366
ParkSong-Composite - ShortestQueue,cycle_time_mean_s,3,-101.75930236270749,-106.10133333333397,86.73945393309636,student_t,0.95,215.47274861183516,3,0,0,-1.3428537221730767,-1.442575029784186
ParkSong-Composite - ShortestQueue,waiting_time_mean_s,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,,
ParkSong-Composite - ShortestQueue,horizon_normalized_throughput_cases_per_hour,3,0.0,0.0,0.0,student_t,0.95,0.0,0,3,0,0.0,0.0
ParkSong-Composite - ShortestQueue,horizon_normalized_resource_occupation_mean,3,0.07831578175412213,0.0741283761033761,0.007560024705694373,student_t,0.95,0.018780142473179582,0,0,3,103.21338283146986,99.77856412881586
ParkSong-Composite - ShortestQueue,resource_fairness_gini,3,-0.0245056690794066,-0.034565226040445984,0.02448638099988376,student_t,0.95,0.060827542466098006,2,0,1,-6.393682424049229,-9.045144538521702
ParkSong-Composite - ShortestQueue,weighted_resource_fairness,3,0.17343284315740393,0.1810265427481734,0.013548538967118023,student_t,0.95,0.03365643658733675,0,0,3,156.8542094769195,150.03558796694148
