Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:05:18.281924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:06:27.913924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,A_Concept,Application,7,start,2016-01-04 09:06:27.913924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,A_Concept,Application,8,complete,2016-01-04 09:09:40.617924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,A_Accepted,Application,9,start,2016-01-04 09:09:40.617924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_100,A_Create Application,Application,11,start,2016-01-04 09:13:28.067396,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_10,A_Accepted,Application,10,complete,2016-01-04 09:14:12.848924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,O_Create Offer,Application,14,start,2016-01-04 09:14:12.848924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_101,A_Create Application,Application,16,start,2016-01-04 09:15:44.787028,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,13,complete,2016-01-04 09:16:43.066396,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_100,A_Submitted,Application,19,suspend,2016-01-04 09:16:43.066396,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,20,start,2016-01-04 09:20:29.167152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,24,resume,2016-01-04 09:21:47.465000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:21:47.465000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,W_Handle leads,Application,23,start,2016-01-04 09:21:47.465000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,W_Handle leads,Application,26,complete,2016-01-04 09:22:57.465000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,27,start,2016-01-04 09:22:57.465000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,25,complete,2016-01-04 09:28:26.405000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,29,start,2016-01-04 09:28:26.405000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,30,complete,2016-01-04 09:28:51.405000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,31,start,2016-01-04 09:28:51.405000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_102,A_Concept,Application,28,complete,2016-01-04 09:31:48.540000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,33,start,2016-01-04 09:31:48.540000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_100,A_Create Application,Application,22,complete,2016-01-04 09:32:59.996152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_104,W_Handle leads,Application,35,start,2016-01-04 09:32:59.996152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_104,W_Handle leads,Application,36,complete,2016-01-04 09:33:58.996152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_100,A_Concept,Application,37,start,2016-01-04 09:33:58.996152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,39,start,2016-01-04 09:35:17.827141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_10,O_Create Offer,Application,15,complete,2016-01-04 09:35:21.086924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,O_Created,Application,42,start,2016-01-04 09:35:21.086924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_1,A_Concept,Application,32,complete,2016-01-04 09:37:26.242000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,44,start,2016-01-04 09:37:26.242000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_102,A_Accepted,Application,34,complete,2016-01-04 09:40:36.826000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,O_Create Offer,Application,46,start,2016-01-04 09:40:36.826000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,41,complete,2016-01-04 09:40:53.636141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_1,W_Handle leads,Application,48,start,2016-01-04 09:40:53.636141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_10,O_Created,Application,43,complete,2016-01-04 09:41:45.167924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,50,start,2016-01-04 09:41:45.167924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_1,W_Handle leads,Application,49,complete,2016-01-04 09:42:04.636141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,52,start,2016-01-04 09:42:04.636141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,18,complete,2016-01-04 09:42:17.747028,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_101,A_Concept,Application,54,start,2016-01-04 09:42:17.747028,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,53,complete,2016-01-04 09:44:25.174141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_104,A_Accepted,Application,56,start,2016-01-04 09:44:25.174141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_104,A_Accepted,Application,57,complete,2016-01-04 09:44:50.393141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_1,W_Complete application,Application,58,start,2016-01-04 09:44:50.393141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_101,A_Concept,Application,55,complete,2016-01-04 09:48:33.946028,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_101,A_Accepted,Application,60,start,2016-01-04 09:48:33.946028,Home improvement,New credit,3,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,62,start,2016-01-04 09:50:19.116757,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,65,start,2016-01-04 09:51:12.489926,Car,New credit,7,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,67,complete,2016-01-04 09:51:22.474926,Car,New credit,7,0.0,0 days,,,,,,,,
,User_107,A_Submitted,Application,68,suspend,2016-01-04 09:51:22.474926,Car,New credit,7,0.0,0 days,,,,,,,,
,User_106,A_Accepted,Application,45,complete,2016-01-04 09:52:00.301000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_106,O_Create Offer,Application,69,start,2016-01-04 09:52:00.301000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,71,start,2016-01-04 09:52:44.853922,Car,New credit,8,450000.0,0 days,,,,,,,,
,User_109,A_Create Application,Application,74,start,2016-01-04 09:53:05.868593,Unknown,New credit,9,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,78,resume,2016-01-04 09:53:58.393141,Car,New credit,7,0.0,0 days,,,,,,,,
,User_1,W_Complete application,Application,59,complete,2016-01-04 09:53:58.393141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_11,O_Sent (mail and online),Application,77,start,2016-01-04 09:53:58.393141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_100,A_Concept,Application,38,complete,2016-01-04 09:54:15.132152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,81,start,2016-01-04 09:54:15.132152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_102,O_Create Offer,Application,47,complete,2016-01-04 09:55:14.353000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,O_Created,Application,83,start,2016-01-04 09:55:14.353000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_100,A_Accepted,Application,82,complete,2016-01-04 09:55:30.618152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_100,O_Create Offer,Application,85,start,2016-01-04 09:55:30.618152,Home improvement,Limit raise,4,0.0,0 days,,,,,,,,
,User_106,O_Create Offer,Application,70,complete,2016-01-04 09:56:55.290000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_106,O_Created,Application,87,start,2016-01-04 09:56:55.290000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_112,A_Create Application,Application,89,start,2016-01-04 09:56:57.044944,Existing loan takeover,New credit,10,0.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,92,start,2016-01-04 09:57:09.108185,"Other, see explanation",New credit,11,0.0,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,51,complete,2016-01-04 09:57:55.463924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,95,start,2016-01-04 09:57:55.463924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_11,O_Sent (mail and online),Application,80,complete,2016-01-04 09:58:52.583141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_11,O_Sent (mail and online),Application,97,start,2016-01-04 09:58:52.583141,Car,Limit raise,5,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,64,complete,2016-01-04 10:00:05.281757,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_104,A_Submitted,Application,99,suspend,2016-01-04 10:00:05.281757,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_104,A_Create Application,Application,100,start,2016-01-04 10:01:11.847289,Existing loan takeover,New credit,12,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,104,resume,2016-01-04 10:01:32.413141,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,79,complete,2016-01-04 10:01:32.413141,Car,New credit,7,0.0,0 days,,,,,,,,
,User_115,A_Concept,Application,103,start,2016-01-04 10:01:32.413141,Car,New credit,7,0.0,0 days,,,,,,,,
,User_10,O_Sent (mail and online),Application,96,complete,2016-01-04 10:01:46.704924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_10,A_Complete,Application,107,start,2016-01-04 10:01:46.704924,Caravan / Camper,New credit,1,5.8,0 days,,,,,,,,
,User_109,A_Create Application,Application,76,complete,2016-01-04 10:03:57.633593,Unknown,New credit,9,0.0,0 days,,,,,,,,
,User_109,W_Handle leads,Application,109,start,2016-01-04 10:03:57.633593,Unknown,New credit,9,0.0,0 days,,,,,,,,
,User_109,W_Handle leads,Application,110,complete,2016-01-04 10:04:13.633593,Unknown,New credit,9,0.0,0 days,,,,,,,,
,User_109,A_Concept,Application,111,start,2016-01-04 10:04:13.633593,Unknown,New credit,9,0.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,105,complete,2016-01-04 10:06:19.477141,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_1,A_Concept,Application,113,start,2016-01-04 10:06:19.477141,"Other, see explanation",New credit,6,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,115,start,2016-01-04 10:07:26.747174,Home improvement,New credit,13,0.0,0 days,,,,,,,,
,User_115,A_Concept,Application,106,complete,2016-01-04 10:07:27.080141,Car,New credit,7,0.0,0 days,,,,,,,,
,User_115,A_Accepted,Application,118,start,2016-01-04 10:07:27.080141,Car,New credit,7,0.0,0 days,,,,,,,,
,User_115,A_Accepted,Application,119,complete,2016-01-04 10:07:30.112141,Car,New credit,7,0.0,0 days,,,,,,,,
,User_106,O_Created,Application,88,complete,2016-01-04 10:07:47.808000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_106,O_Sent (mail and online),Application,121,start,2016-01-04 10:07:47.808000,Home improvement,New credit,2,0.0,0 days,,,,,,,,
,User_102,O_Created,Application,84,complete,2016-01-04 10:08:32.034000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
,User_102,O_Sent (mail and online),Application,123,start,2016-01-04 10:08:32.034000,Existing loan takeover,New credit,0,0.0,0 days,,,,,,,,
