Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,strain_time_difference,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
,User_1,A_Create Application,Application,1,start,2016-01-04 09:00:00.000000,"Other, see explanation",New credit,0,450000.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,4,start,2016-01-04 09:03:34.607727,Home improvement,New credit,1,450000.0,0 days,,,,,,,,
,User_1,A_Create Application,Application,3,complete,2016-01-04 09:09:44.623000,"Other, see explanation",New credit,0,450000.0,0 days,,,,,,,,
,User_100,A_Concept,Application,7,start,2016-01-04 09:09:44.623000,"Other, see explanation",New credit,0,450000.0,0 days,,,,,,,,
,User_101,A_Create Application,Application,9,start,2016-01-04 09:12:01.342653,Car,New credit,2,0.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,12,start,2016-01-04 09:12:01.388144,Existing loan takeover,New credit,3,450000.0,0 days,,,,,,,,
,User_102,A_Create Application,Application,14,complete,2016-01-04 09:12:17.831144,Existing loan takeover,New credit,3,450000.0,0 days,,,,,,,,
,User_10,A_Create Application,Application,6,complete,2016-01-04 09:14:13.844727,Home improvement,New credit,1,450000.0,0 days,,,,,,,,
,User_104,A_Concept,Application,16,start,2016-01-04 09:14:13.844727,Home improvement,New credit,1,450000.0,0 days,,,,,,,,
,User_106,A_Create Application,Application,18,start,2016-01-04 09:14:24.569543,Existing loan takeover,New credit,4,450000.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,21,start,2016-01-04 09:15:27.690256,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_109,A_Create Application,Application,24,start,2016-01-04 09:16:06.222136,Motorcycle,New credit,6,450000.0,0 days,,,,,,,,
,User_104,A_Concept,Application,17,complete,2016-01-04 09:16:41.150727,Home improvement,New credit,1,450000.0,0 days,,,,,,,,
,User_11,A_Accepted,Application,27,start,2016-01-04 09:16:41.150727,Home improvement,New credit,1,450000.0,0 days,,,,,,,,
,User_112,A_Create Application,Application,29,start,2016-01-04 09:17:28.196403,Unknown,Limit raise,7,0.0,0 days,,,,,,,,
,User_113,A_Create Application,Application,32,start,2016-01-04 09:20:16.816945,Existing loan takeover,Limit raise,8,5662.8,0 days,,,,,,,,
,User_109,A_Create Application,Application,26,complete,2016-01-04 09:21:26.868136,Motorcycle,New credit,6,450000.0,0 days,,,,,,,,
,User_1,A_Submitted,Application,35,start,2016-01-04 09:21:26.868136,Motorcycle,New credit,6,450000.0,0 days,,,,,,,,
,User_112,A_Create Application,Application,31,complete,2016-01-04 09:22:26.450403,Unknown,Limit raise,7,0.0,0 days,,,,,,,,
,User_115,A_Concept,Application,37,start,2016-01-04 09:22:26.450403,Unknown,Limit raise,7,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,39,start,2016-01-04 09:23:37.841496,"Other, see explanation",New credit,9,0.0,0 days,,,,,,,,
,User_107,A_Create Application,Application,23,complete,2016-01-04 09:24:06.145256,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_107,A_Submitted,Application,42,suspend,2016-01-04 09:24:06.145256,Home improvement,New credit,5,0.0,0 days,,,,,,,,
,User_116,A_Create Application,Application,41,complete,2016-01-04 09:24:47.612496,"Other, see explanation",New credit,9,0.0,0 days,,,,,,,,
