strategy,seed,exact_resource_activity_model_calls,activity_level_fallback_calls,category_fallback_calls,global_fallback_calls,emergency_guard_calls,total_processing_time_sampling_calls,exact_resource_activity_model_rate,activity_level_fallback_rate,global_fallback_rate
RoundRobin,1,49,49,0,987,0,1085,0.04516129032258064,0.04516129032258064,0.9096774193548387
RoundRobin,2,54,44,0,987,0,1085,0.04976958525345622,0.04055299539170507,0.9096774193548387
RoundRobin,3,49,49,0,987,0,1085,0.04516129032258064,0.04516129032258064,0.9096774193548387
RoundRobin,4,58,40,0,987,0,1085,0.053456221198156684,0.03686635944700461,0.9096774193548387
RoundRobin,5,49,48,0,986,0,1083,0.04524469067405355,0.0443213296398892,0.9104339796860572
ShortestQueue,1,55,41,0,981,0,1077,0.0510677808727948,0.03806870937790158,0.9108635097493036
ShortestQueue,2,48,50,0,987,0,1085,0.04423963133640553,0.04608294930875576,0.9096774193548387
ShortestQueue,3,57,41,0,987,0,1085,0.052534562211981564,0.03778801843317972,0.9096774193548387
ShortestQueue,4,53,45,0,987,0,1085,0.04884792626728111,0.041474654377880185,0.9096774193548387
ShortestQueue,5,57,41,0,987,0,1085,0.052534562211981564,0.03778801843317972,0.9096774193548387
ParkSong-Composite,1,68,30,0,987,0,1085,0.06267281105990784,0.027649769585253458,0.9096774193548387
ParkSong-Composite,2,44,12,0,648,0,704,0.0625,0.017045454545454544,0.9204545454545454
ParkSong-Composite,3,67,31,0,987,0,1085,0.06175115207373272,0.02857142857142857,0.9096774193548387
ParkSong-Composite,4,60,35,0,983,0,1078,0.055658627087198514,0.032467532467532464,0.911873840445269
ParkSong-Composite,5,66,32,0,987,0,1085,0.060829493087557605,0.029493087557603687,0.9096774193548387
Kunkler-Rinderle-Ma,1,51,47,0,987,0,1085,0.047004608294930875,0.04331797235023042,0.9096774193548387
Kunkler-Rinderle-Ma,2,43,55,0,987,0,1085,0.03963133640552995,0.05069124423963134,0.9096774193548387
Kunkler-Rinderle-Ma,3,47,51,0,987,0,1085,0.04331797235023042,0.047004608294930875,0.9096774193548387
Kunkler-Rinderle-Ma,4,50,48,0,987,0,1085,0.04608294930875576,0.04423963133640553,0.9096774193548387
Kunkler-Rinderle-Ma,5,47,51,0,987,0,1085,0.04331797235023042,0.047004608294930875,0.9096774193548387
Batch,1,47,51,0,987,0,1085,0.04331797235023042,0.047004608294930875,0.9096774193548387
Batch,2,51,46,0,983,0,1080,0.04722222222222222,0.04259259259259259,0.9101851851851852
Batch,3,44,54,0,987,0,1085,0.04055299539170507,0.04976958525345622,0.9096774193548387
Batch,4,56,42,0,987,0,1085,0.05161290322580645,0.03870967741935484,0.9096774193548387
Batch,5,59,39,0,987,0,1085,0.054377880184331796,0.035944700460829496,0.9096774193548387
