mode,strategy,seed,runtime_seconds,event_log_path,admitted,completed,completion_rate,deadlocked,cyclic,censored,final_marking_rate,events,exact_transition_fires,legacy_label_fires,ambiguous_legacy_label_rejections,branch_predictions,branch_transition_ambiguities,branch_invalid_predictions_rejected,resources_allocated,resources_released,resource_overlap_violations,permission_violations,invalid_transition_fires,reservation_decisions,reservations_created,reservations_used,diagnostic_cycle_guard_enabled
transition-aware BPMN and allocation integration smoke,round_robin,1,0.229,joao/results/final_canonical_20260716/generative/round_robin_seed1_event_log.csv,34,29,0.8529411764705882,0,0,5,0.8529411764705882,975,484,0,0,455,0,0,485,484,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,shortest_queue,1,0.251,joao/results/final_canonical_20260716/generative/shortest_queue_seed1_event_log.csv,34,30,0.8823529411764706,0,0,4,0.8823529411764706,986,489,0,0,459,0,0,490,489,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,parksong_composite,1,0.229,joao/results/final_canonical_20260716/generative/parksong_composite_seed1_event_log.csv,34,27,0.7941176470588235,0,0,7,0.7941176470588235,982,451,0,0,424,0,0,451,451,0,0,0,364,364,175,0
transition-aware BPMN and allocation integration smoke,kunkler,1,0.258,joao/results/final_canonical_20260716/generative/kunkler_seed1_event_log.csv,34,24,0.7058823529411765,0,0,10,0.7058823529411765,956,472,0,0,448,0,0,472,472,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,batch,1,0.283,joao/results/final_canonical_20260716/generative/batch_seed1_event_log.csv,34,22,0.6470588235294118,0,0,12,0.6470588235294118,928,457,0,0,435,0,0,458,457,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,round_robin,2,0.296,joao/results/final_canonical_20260716/generative/round_robin_seed2_event_log.csv,42,33,0.7857142857142857,0,0,9,0.7857142857142857,1354,674,0,0,641,0,0,679,674,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,shortest_queue,2,0.298,joao/results/final_canonical_20260716/generative/shortest_queue_seed2_event_log.csv,42,32,0.7619047619047619,0,0,10,0.7619047619047619,1150,571,0,0,539,0,0,572,571,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,parksong_composite,2,1.014,joao/results/final_canonical_20260716/generative/parksong_composite_seed2_event_log.csv,42,26,0.6190476190476191,0,0,16,0.6190476190476191,1629,658,0,0,632,0,0,662,658,0,0,0,190,190,73,0
transition-aware BPMN and allocation integration smoke,kunkler,2,0.284,joao/results/final_canonical_20260716/generative/kunkler_seed2_event_log.csv,42,29,0.6904761904761905,0,0,13,0.6904761904761905,1155,571,0,0,542,0,0,574,571,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,batch,2,0.326,joao/results/final_canonical_20260716/generative/batch_seed2_event_log.csv,42,36,0.8571428571428571,0,0,6,0.8571428571428571,1101,542,0,0,506,0,0,543,542,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,round_robin,3,0.194,joao/results/final_canonical_20260716/generative/round_robin_seed3_event_log.csv,33,25,0.7575757575757576,0,0,8,0.7575757575757576,875,436,0,0,411,0,0,437,436,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,shortest_queue,3,0.247,joao/results/final_canonical_20260716/generative/shortest_queue_seed3_event_log.csv,33,27,0.8181818181818182,0,0,6,0.8181818181818182,978,486,0,0,459,0,0,486,486,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,parksong_composite,3,0.432,joao/results/final_canonical_20260716/generative/parksong_composite_seed3_event_log.csv,33,23,0.696969696969697,0,0,10,0.696969696969697,1088,451,0,0,428,0,0,455,451,0,0,0,460,460,235,0
transition-aware BPMN and allocation integration smoke,kunkler,3,0.21,joao/results/final_canonical_20260716/generative/kunkler_seed3_event_log.csv,33,28,0.8484848484848485,0,0,5,0.8484848484848485,892,442,0,0,414,0,0,442,442,0,0,0,0,0,0,0
transition-aware BPMN and allocation integration smoke,batch,3,0.246,joao/results/final_canonical_20260716/generative/batch_seed3_event_log.csv,33,28,0.8484848484848485,0,0,5,0.8484848484848485,956,472,0,0,444,0,0,473,472,0,0,0,0,0,0,0
