strategy,seed,exact_resource_activity_model_calls,activity_level_fallback_calls,category_fallback_calls,global_fallback_calls,emergency_guard_calls,total_processing_time_sampling_calls,exact_resource_activity_model_rate,activity_level_fallback_rate,global_fallback_rate
RoundRobin,1,48,48,0,983,0,1079,0.04448563484708063,0.04448563484708063,0.9110287303058388
RoundRobin,2,54,44,0,987,0,1085,0.04976958525345622,0.04055299539170507,0.9096774193548387
RoundRobin,3,46,52,0,987,0,1085,0.0423963133640553,0.047926267281105994,0.9096774193548387
RoundRobin,4,60,38,0,987,0,1085,0.055299539170506916,0.035023041474654376,0.9096774193548387
RoundRobin,5,52,46,0,987,0,1085,0.047926267281105994,0.0423963133640553,0.9096774193548387
ShortestQueue,1,55,41,0,981,0,1077,0.0510677808727948,0.03806870937790158,0.9108635097493036
ShortestQueue,2,48,50,0,987,0,1085,0.04423963133640553,0.04608294930875576,0.9096774193548387
ShortestQueue,3,57,41,0,987,0,1085,0.052534562211981564,0.03778801843317972,0.9096774193548387
ShortestQueue,4,53,45,0,987,0,1085,0.04884792626728111,0.041474654377880185,0.9096774193548387
ShortestQueue,5,57,41,0,987,0,1085,0.052534562211981564,0.03778801843317972,0.9096774193548387
ParkSong-Composite,1,74,24,0,987,0,1085,0.06820276497695853,0.022119815668202765,0.9096774193548387
ParkSong-Composite,2,65,30,0,976,0,1071,0.06069094304388422,0.028011204481792718,0.911297852474323
ParkSong-Composite,3,67,31,0,987,0,1085,0.06175115207373272,0.02857142857142857,0.9096774193548387
ParkSong-Composite,4,63,35,0,987,0,1085,0.05806451612903226,0.03225806451612903,0.9096774193548387
ParkSong-Composite,5,69,29,0,987,0,1085,0.06359447004608294,0.026728110599078342,0.9096774193548387
Kunkler-Rinderle-Ma,1,50,48,0,987,0,1085,0.04608294930875576,0.04423963133640553,0.9096774193548387
Kunkler-Rinderle-Ma,2,44,53,0,986,0,1083,0.040627885503231764,0.048938134810710986,0.9104339796860572
Kunkler-Rinderle-Ma,3,50,48,0,987,0,1085,0.04608294930875576,0.04423963133640553,0.9096774193548387
Kunkler-Rinderle-Ma,4,50,48,0,987,0,1085,0.04608294930875576,0.04423963133640553,0.9096774193548387
Kunkler-Rinderle-Ma,5,47,51,0,987,0,1085,0.04331797235023042,0.047004608294930875,0.9096774193548387
Batch,1,47,51,0,987,0,1085,0.04331797235023042,0.047004608294930875,0.9096774193548387
Batch,2,51,46,0,983,0,1080,0.04722222222222222,0.04259259259259259,0.9101851851851852
Batch,3,44,54,0,987,0,1085,0.04055299539170507,0.04976958525345622,0.9096774193548387
Batch,4,56,42,0,987,0,1085,0.05161290322580645,0.03870967741935484,0.9096774193548387
Batch,5,59,39,0,987,0,1085,0.054377880184331796,0.035944700460829496,0.9096774193548387
