strategy,seed,allocation_epochs,epochs_with_waiting_tasks,epochs_with_zero_eligible_resource,epochs_with_less_eligible_resources_than_waiting_tasks,epochs_with_all_eligible_resources_occupied,epochs_with_resources_unavailable_by_calendar,average_waiting_tasks_per_allocation_epoch,average_eligible_resources_per_waiting_task,fraction_tasks_waited_no_available_eligible_resource,max_waiting_queue_length,mean_waiting_queue_length,fraction_epochs_strategic_idling_feasible
RoundRobin,1,1574,1574,349,,0,,2.3703939008894537,11.334762798177433,0.09354060573572769,28,2.3703939008894537,6.142312579415502
RoundRobin,2,1613,1613,420,,0,,1.6236825790452574,17.138220694921724,0.16036655211912945,23,1.6236825790452574,8.532548047117173
RoundRobin,3,1752,1752,562,,0,,2.3829908675799087,11.792335329341318,0.13461077844311378,28,2.3829908675799087,4.1118721461187215
RoundRobin,4,1521,1521,305,,0,,1.7455621301775148,16.769491525423728,0.11487758945386065,24,1.7455621301775148,7.554898093359632
RoundRobin,5,1772,1772,551,,0,,2.5705417607223477,10.52338090010977,0.12096597145993414,27,2.5705417607223477,5.265237020316027
ShortestQueue,1,1593,1593,412,,0,,2.8141870684243564,10.047066696408654,0.09190274369841624,28,2.8141870684243564,4.328311362209667
ShortestQueue,2,1462,1462,239,,0,,1.9076607387140903,14.099318752240947,0.08569379705987809,22,1.9076607387140905,6.680574555403557
ShortestQueue,3,1688,1688,490,,0,,2.441943127962085,11.537603105288694,0.11887433284813198,29,2.441943127962085,6.385663507109005
ShortestQueue,4,1675,1675,474,,0,,2.8734328358208954,10.236442966964471,0.09848327446499065,26,2.8734328358208954,6.237611940298508
ShortestQueue,5,1730,1730,525,,0,,2.346820809248555,12.160591133004926,0.12931034482758622,28,2.346820809248555,4.853179190751445
ParkSong-Composite,1,1993,1993,294,,0,,4.618665328650276,1.0618142313959804,0.03193916349809886,30,4.618665328650276,6.3557451078775715
ParkSong-Composite,2,1764,1764,251,,0,,2.9773242630385486,2.383282559025133,0.04779131759329779,24,2.9773242630385486,6.346371882086168
ParkSong-Composite,3,1992,1992,464,,0,,3.8473895582329316,1.5194415448851775,0.060542797494780795,28,3.847389558232931,4.888052208835341
ParkSong-Composite,4,1689,1689,267,,0,,2.965068087625814,2.408546325878594,0.053314696485623,25,2.965068087625814,7.583777383066903
ParkSong-Composite,5,1894,1894,310,,0,,3.863780359028511,1.3140202241049468,0.04236130090188576,24,3.863780359028511,5.577613516367476
Kunkler-Rinderle-Ma,1,1925,1925,719,,0,,3.1335064935064936,9.293435013262599,0.11919761273209549,30,3.1335064935064936,7.637402597402597
Kunkler-Rinderle-Ma,2,1976,1976,787,,0,,2.7449392712550607,11.114675516224189,0.14509587020648967,26,2.7449392712550607,6.132085020242915
Kunkler-Rinderle-Ma,3,1709,1709,508,,0,,1.9321240491515506,15.017867958812841,0.15384615384615385,25,1.9321240491515503,7.185488589818608
Kunkler-Rinderle-Ma,4,1930,1930,732,,0,,2.295854922279793,12.935680433310765,0.16519972918077183,25,2.295854922279793,5.918134715025907
Kunkler-Rinderle-Ma,5,1686,1686,479,,0,,1.756820877817319,17.322417285617824,0.16171505739365294,25,1.756820877817319,8.080664294187425
Batch,1,2023,2023,839,,0,,2.551161641127039,12.314086417360977,0.16256539430342956,28,2.551161641127039,7.287691547207118
Batch,2,1767,1767,575,,0,,2.2127900396151667,13.766751918158567,0.14705882352941177,26,2.2127900396151667,7.976796830786644
Batch,3,1692,1692,510,,0,,1.758274231678487,17.041008403361346,0.17142857142857143,26,1.758274231678487,4.555555555555555
Batch,4,1941,1941,758,,0,,2.921689850592478,9.729500969846589,0.13366249338740963,32,2.921689850592478,7.096857290056672
Batch,5,1820,1820,637,,0,,2.1043956043956045,14.1,0.16631853785900783,26,2.1043956043956045,5.34065934065934
