comparison,metric,paired_seed_count,mean_difference,median_difference,std_difference,ci_method,ci_level,difference_ci95_half_width,wins,ties,losses,mean_percent_difference,median_percent_difference
ParkSong-Composite - RoundRobin,cycle_time_mean_s,5,16149.669914312526,15128.908789473673,33092.164905717786,student_t,0.95,41089.34978605183,1,0,4,29.3442833769586,20.580676011157824
ParkSong-Composite - RoundRobin,waiting_time_mean_s,5,1315.7913603272557,1007.4736859015388,792.536388854553,student_t,0.95,984.0639013071175,0,0,5,82.02079784978937,80.02687525162354
ParkSong-Composite - RoundRobin,horizon_normalized_throughput_cases_per_hour,5,0.0,0.0,0.0004829964352367035,student_t,0.95,0.0005997192848941707,1,3,1,0.0035087719298244834,0.0
ParkSong-Composite - RoundRobin,horizon_normalized_resource_occupation_mean,5,-0.00067977928459666,-0.0002422036001615,0.0011405531682436984,student_t,0.95,0.001416183807045441,3,0,2,-15.607501668658097,-12.543344183256936
ParkSong-Composite - RoundRobin,resource_fairness_gini,5,-0.054489652176771486,0.02584044911250194,0.13813338173294284,student_t,0.95,0.1715152470479326,2,0,3,-5.178899085944582,5.260051054748494
ParkSong-Composite - RoundRobin,weighted_resource_fairness,5,-0.0021084885040217,0.0002536227303352001,0.00385947315800856,student_t,0.95,0.004792168872333016,2,0,3,-12.619769206802228,6.576764085918397
ParkSong-Composite - ShortestQueue,cycle_time_mean_s,5,28162.437714803753,30693.226407894734,24831.54355566441,student_t,0.95,30832.433652897187,1,0,4,42.9782884062147,52.96872267714969
ParkSong-Composite - ShortestQueue,waiting_time_mean_s,5,1198.0504917589308,666.5789356711241,965.8152061661735,student_t,0.95,1199.2179704142839,0,0,5,71.39262493108657,41.66602883537918
ParkSong-Composite - ShortestQueue,horizon_normalized_throughput_cases_per_hour,5,0.0,0.0,0.0004829964352367035,student_t,0.95,0.0005997192848941707,1,3,1,0.0035087719298244834,0.0
ParkSong-Composite - ShortestQueue,horizon_normalized_resource_occupation_mean,5,0.00038509153206764,0.00036344054647469994,7.748724408343337e-05,student_t,0.95,9.621312129842684e-05,0,0,5,27.51792831615571,26.264459226412377
ParkSong-Composite - ShortestQueue,resource_fairness_gini,5,0.042786318399243406,0.026888547214773573,0.03966705246451738,student_t,0.95,0.04925315096005112,0,0,5,9.70314662476154,5.48225209565568
ParkSong-Composite - ShortestQueue,weighted_resource_fairness,5,0.00112168012358512,0.0012094446236701997,0.00016182698977195868,student_t,0.95,0.00020093474713752985,0,0,5,34.67380341810664,37.662092203042896
